VEC mean,APE mean,Electronegativity local mismatch,Shear modulus delta,Shear modulus mean,Mixing enthalpy,Shear modulus strength model,Nb,Mo,Radii gamma,Yang omega,Electronegativity delta,Lambda entropy,Ta,Shear modulus local mismatch,Configuration entropy,Yang delta,W,Radii local mismatch,Mean cohesive energy,Total weight,Atomic weight mean,SFE
5.73,0.0047817248220382,0.1545449999999999,0.3828611662210546,112.7109,5.3532,-0.0825400808076494,18,32,1.0442200092944005,6.3038579106283965,0.0682189885266322,-16.001170061082657,9,22.893123,-0.0104386678196023,0.0255415158467381,41,1.9198,7.923,13908.36576,139.0900576,0.8304
5.739999999999999,0.0055627554458127,0.140325,0.3977752771083877,103.5582,5.0248,-0.0785329276196145,25,53,1.0441512979043028,5.300565048308563,0.063593612702104,-22.199304423184486,1,21.089292,-0.0087866243256832,0.0198948810014373,21,1.453,7.4571,11449.06738,114.5012738,0.8031
5.130000000000001,0.0039556591177543,0.08136,0.5949322140806169,60.108900000000006,3.2648,-0.1019043576265547,59,3,1.0437647270244113,7.664238579278035,0.0583304341003514,-21.56148241320713,28,16.225682999999997,-0.0083405129575301,0.0196678583792473,10,1.2156,7.828900000000001,12674.23706,126.7429706,1.1207
5.530000000000001,-0.0093129725482116,0.1664250000000001,0.5024866110338856,86.3169,6.2976,-0.1046173494144175,39,40,1.04400334321755,4.716237871563327,0.0732254700533466,-22.17982746018836,8,23.369883,-0.0099853685958604,0.0212179278720002,13,1.596,7.4853,11298.45186,112.9925186,1.4275
5.43,-0.016529955373764,0.17442,0.5178817608194962,87.87989999999999,6.546799999999999,-0.1149351115202484,32,19,1.0439693772714225,5.459166743872002,0.0787292817679558,-15.41173812604213,25,25.125963,-0.0113838565008826,0.0271780877076621,24,2.085,7.8792,13731.72116,137.3210116,1.3765
5.48,-0.0130461806069439,0.1851,0.439126492284307,101.3724,6.8224,-0.0960477491354606,13,10,1.0440237546028666,4.999454187154563,0.0822660122402317,-9.874024830112877,39,24.056688,-0.0102295163142018,0.0321869957116987,38,2.4166,8.2071,16210.07026,162.1027026,1.4521
5.3100000000000005,-0.0250873643113319,0.15858,0.6803673161767543,74.97630000000001,6.5676000000000005,-0.1537295448220949,60,3,1.0439693772714225,3.8244047328652826,0.0797221402026496,-11.59149873002072,9,25.068627,-0.008187939849512,0.0265777080080966,28,1.8258,7.967600000000001,12638.25372,126.3831372,1.2646
5.48,-0.0129507443038621,0.185445,0.575791906035225,92.3844,7.44,-0.1380967350364913,43,9,1.0440965224205654,4.135179197851458,0.0825480524032141,-11.89642392711521,9,28.260648000000007,-0.0096738766691134,0.0285162266099385,39,2.1138000000000003,8.0689,13656.72526,136.56905260000002,1.414
5.47,-0.01368498904611,0.17346,0.360371993723627,97.3251,5.8864,-0.054287496411558,3,27,1.0439129141739996,5.171599596876404,0.0768444441456034,-11.483812439854166,50,18.600003,-0.0093713571111658,0.0285665766363773,20,2.1364,7.8985,15593.293140000002,155.93833139999998,1.4128
5.390000000000001,-0.019323450971729,0.159705,0.5488669978152267,78.15870000000001,6.0788,-0.1130324596669336,44,26,1.043919680080443,5.248060396360402,0.0743808601972793,-20.923957543161485,17,23.107227,-0.010624726333888,0.0225339310546028,13,1.6862,7.638,12048.35468,120.4887468,1.3051
5.57,-0.006438059282262,0.1568250000000001,0.4309050431671316,89.0901,5.804,-0.0884671944424917,29,50,1.0439806918978114,4.955952032624717,0.0700541233218129,-24.50041202939022,14,20.397363,-0.0097021150509668,0.0198996994010087,7,1.4816,7.3623,11311.43534,113.1243534,1.7572
5.8,-0.0029170546660154,0.1313399999999999,0.3608638357068655,123.51,4.800000000000001,-0.0775551007747199,19,18,1.0443674997306631,5.638322519879397,0.0631465197009427,-14.349027894310456,1,21.1068,-0.0080366162334439,0.0236660280657367,62,1.6021999999999998,8.2649,15071.1691,150.715291,0.819
5.73,0.0048656998924107,0.13842,0.3633800181579264,103.0989,4.8424,-0.0700274363684208,19,57,1.0441079198338594,5.8802670046451,0.0633710242417227,-22.57205756992744,8,19.090683,-0.009404946771158,0.020412330728904,16,1.4731999999999998,7.3977,11622.82426,116.2396426,0.8337
5.300000000000001,-0.0137774473072081,0.14616,0.4476365668298738,83.45700000000001,5.300000000000001,-0.0851092635516174,17,14,1.0438117403928482,6.069619773344475,0.0738832206133077,-14.497016219683234,53,19.2993,-0.0100282385651172,0.0263010457118041,16,1.8758,7.958700000000001,15454.246099999998,154.545261,1.2825
5.59,-0.0051204583181662,0.17778,0.4831957429130764,98.7087,6.6192,-0.1087094700881113,31,27,1.0441124808813973,5.18196918201314,0.0763688494151331,-15.888171833925243,10,26.169147,-0.0109035133636321,0.0261966806586755,32,2.018,7.846100000000002,13162.83658,131.6337658,1.9161
5.52,-0.0101393596480436,0.1863,0.5082204174909922,99.4416,7.2288,-0.1241875385628128,30,10,1.0441079198338594,4.73908792081568,0.0819890618471038,-11.614187962714947,18,27.377568,-0.0105127562408298,0.0300859598853868,42,2.268,8.149,14724.933239999998,147.25133240000002,1.4708
5.390000000000001,-0.0193998226705222,0.16848,0.494322727671202,87.12270000000001,6.2372,-0.1066205143510636,26,17,1.043919680080443,5.716070201458248,0.0780950824377634,-14.783474054423284,35,23.598627000000004,-0.0112406747949173,0.0275745186489086,22,2.093,7.9206,14424.20168,144.2454168,1.3331
5.51,-0.0107250859544589,0.16344,0.4976907236987173,84.25829999999999,6.1856,-0.1031548694151996,39,41,1.0439761651652997,4.744917837563198,0.072638831086508,-23.56280635181233,10,22.548267000000003,-0.0099210926919073,0.0205194750764827,10,1.5396,7.448500000000001,11204.76762,112.0558762,1.3437
5.38,-0.0200575733043062,0.175485,0.6761555237978244,80.8794,7.359999999999999,-0.1585899836903715,60,3,1.0440487343359388,2.998415270856651,0.0829369336664676,-9.542867296417954,2,27.054828,-0.0071281767977651,0.0273306392118787,35,1.8916,8.0236,12658.49856,126.5855856,1.3357
5.880000000000001,0.0154921040373164,0.075645,0.2060737558492704,112.2444,2.3392000000000004,-0.0253662482005921,4,79,1.0441444415776373,7.806970705885863,0.0445295019572762,-24.24224921517168,8,9.221688,-0.0061003897912567,0.0158632561512251,9,0.8972,7.139600000000001,11053.02856,110.5460856,1.2184
5.79,0.0091283313926223,0.114225,0.2607102078724372,108.1227,3.6924,-0.0386903425317584,6,68,1.0440965224205654,6.547977372042891,0.0566170120295441,-20.38147865965901,15,13.220427,-0.0079683318827284,0.0197726947987589,11,1.3102,7.285800000000001,11817.81648,118.1917648,0.8129
5.809999999999999,0.0026824558605188,0.1238399999999999,0.2849953348933745,131.0133,4.336399999999999,-0.0531461275987654,6,11,1.0443813906568131,6.213251763936034,0.0624750154703412,-10.608983334702256,13,16.824987,-0.0077029713156798,0.0269458728863361,70,1.6818,8.4874,16833.90072,168.3412072,0.8732
5.44,0.0075867202231989,0.1549650000000001,0.4607379867209372,80.97120000000001,5.7328,-0.0938489207978582,33,39,1.043892632233968,5.273563822812869,0.0712522945061065,-25.060022561744507,23,20.278152,-0.0101505466656219,0.0201258386797146,5,1.5298000000000005,7.465900000000001,11888.57178,118.8935178,1.3289
5.609999999999999,-0.0036472384632646,0.1608,0.3822631366306613,97.3233,5.6096,-0.074849757004015,17,47,1.0440124119944592,5.752823051134327,0.0706194444748967,-19.187339023661156,22,20.093427,-0.010512696984625,0.0234072125449209,14,1.7764,7.520300000000001,12643.20182,126.4414182,1.7967
5.51,-0.0108174688794233,0.1773,0.4712000505286998,93.5223,6.469200000000001,-0.1029837045792658,26,27,1.0440101443579275,5.586953494717303,0.0772915036055499,-16.0485536446851,23,24.565947,-0.0115090082052799,0.0267794097681729,24,2.0834,7.808600000000001,13579.90712,135.8044712,1.4649
5.66,-0.0001353481532506,0.1635,0.4280694926613035,101.6478,5.8552,-0.0906799260811609,25,40,1.044119324685182,5.639401509214301,0.0708682946502244,-18.574131354245534,9,23.583252,-0.0106422869490287,0.0239366420889806,26,1.831,7.6635,12568.63042,125.6943042,1.5839
5.68,0.0012315780483082,0.1670999999999999,0.4057129231455939,110.4144,5.944000000000001,-0.0907284040005951,19,26,1.0441924923739303,5.897659594884328,0.072693480929391,-14.400465105749554,13,24.119088,-0.0107695982968032,0.0273471134733514,42,2.071,8.0025,14333.26366,143.3378366,1.3206
5.84,0.0125585721592968,0.1181249999999999,0.3213954948383066,122.8632,3.8112,-0.0638277283055654,14,33,1.044332820350028,7.629610900506774,0.0566022747544787,-18.056615058090017,2,19.387032,-0.0088357920296121,0.0221209906817612,51,1.5764000000000002,8.011400000000002,14204.44508,142.0510508,0.8317
5.259999999999999,0.0187915349531517,0.1252050000000001,0.6257261707752754,62.62379999999998,4.9592,-0.1176007831946506,67,19,1.0438566337824091,4.619277944796742,0.0671020862836055,-24.95272774313554,7,18.387852,-0.0079494751981774,0.017848848994199,7,1.1602,7.557699999999999,10601.10262,106.0148262,1.1804
5.120000000000001,0.0216685369712224,0.07182,0.644565615930436,50.0376,2.9424,-0.1026778394021395,85,6,1.043798294990974,4.648212905281399,0.0534694557275235,-21.822082689276552,3,11.053008,-0.0048299942975145,0.0148773373336188,6,0.7062,7.6207,10118.56594,101.1868594,1.1017
5.73,0.0047271320680848,0.1545449999999999,0.2936954570986211,118.01489999999998,4.8568,-0.0444279731647205,1,32,1.0441810397377664,6.41081144507489,0.0682189885266322,-11.2477207079361,26,18.596883,-0.0093654304245179,0.0288556996568975,41,2.1408,8.013100000000001,15405.07126,154.05711259999998,0.791
5.7,0.0026781810148655,0.1616849999999999,0.4142558567739911,117.489,6.279999999999999,-0.0981394899733678,22,9,1.0443005145616735,4.717584172752943,0.0739844348147259,-11.11099212576174,8,24.1011,-0.0087579863381671,0.028075384437424,61,1.9388,8.356200000000001,15569.2234,155.694034,1.2452
5.18,-0.0031186186401395,0.10206,0.5400334859444211,67.1454,3.9248,-0.0966925279089614,44,8,1.0437647270244113,7.53057333329644,0.0633658741895623,-21.656314660669526,38,17.992068000000003,-0.0096544676644264,0.0211140667235906,10,1.4216000000000004,7.8444,13569.82016,135.6998016,1.1743
5.209999999999999,0.0010521784412759,0.1186649999999999,0.5858180086832897,69.4833,4.6608,-0.1142550977914228,47,6,1.0438139823066284,6.429825969313334,0.0689994606070247,-17.604937464476393,32,20.333787,-0.0097510934067098,0.0235347405494817,15,1.6088,7.894100000000001,13490.17202,134.90292019999998,1.21
5.220000000000001,0.0031414373485092,0.124125,0.6046111871399172,70.0746,4.924,-0.1213559000214007,49,5,1.043834172575099,6.01950633531108,0.0708317878299662,-16.367960145206975,29,21.133308,-0.0096404511863758,0.0242689731132872,17,1.6626,7.9123,13404.88114,134.0498114,1.2151
5.57,-0.0065804566450514,0.1797,0.4336207588113165,101.5101,6.436,-0.0955769527059993,19,25,1.0440714742555814,5.692812639541782,0.0773346158260784,-13.969803799039893,24,24.447963,-0.0113838565008826,0.0285462820818444,32,2.2156,7.9353,14389.35034,143.8985034,1.8617
5.430000000000001,0.0005834263683941,0.1500000000000001,0.4042041939302656,82.1919,5.406,-0.0799790197298614,24,41,1.0438521392161042,5.328135770728924,0.0698706911480765,-24.524430855454145,33,17.971563000000003,-0.0095790771997501,0.0197634321902238,2,1.501,7.463999999999999,12502.25316,125.03073159999998,1.3181
5.56,-0.007248963293559,0.184605,0.5319128596267938,99.2028,7.2928,-0.1266756785690669,38,13,1.0441581569191356,4.258911990284656,0.0804751478193114,-12.42247549661685,6,28.081272,-0.0096826707243901,0.0279185916909182,43,2.0788,8.0762,13768.46972,137.6872972,1.6042
5.74,0.0055258841629031,0.14568,0.3807915800226539,107.7222,5.0224,-0.0772392219355451,20,46,1.044171883019941,6.2084566782245805,0.0649900449552288,-19.674743257055788,6,21.559332000000005,-0.0100127651824938,0.0225591368470832,28,1.6888,7.629200000000001,12504.57488,125.0549488,0.8015
5.41,0.0089573295035138,0.1549050000000001,0.4953750435311377,78.7413,5.791600000000001,-0.1005690568289487,38,34,1.043892632233968,5.33887815439109,0.0719402831483076,-24.419326793998746,21,21.173187,-0.0103788770501282,0.0206161867785368,7,1.5598,7.519400000000001,11879.18792,118.7986792,1.2997
5.37,0.0033893842166281,0.1428000000000001,0.4530670538355988,76.2441,5.265999999999999,-0.0898494075224967,34,35,1.043834172575099,5.50523692134789,0.0688470767380653,-27.747680631284933,29,18.716403,-0.0097394939285822,0.0187350498061226,2,1.4226,7.487800000000001,12131.88544,121.32585439999998,1.2776
5.4,-0.0186148578958361,0.168885,0.6215013609453305,78.174,6.688000000000001,-0.1324473922132232,55,19,1.043987484202673,4.188319878494898,0.0777221088105675,-16.470467242040844,5,25.20468,-0.0093272431472447,0.023797081027445,21,1.7186,7.733300000000001,11698.0903,116.984703,1.3067
5.550000000000001,-0.0080884681081503,0.185985,0.3974644279428029,111.3795,6.94,-0.0823561311064357,7,4,1.0441170431195084,4.231845606813743,0.0827613998815138,-7.318121561743374,38,22.992075,-0.0085300882405372,0.0341410561822215,51,2.4608,8.4197,17285.9641,172.860441,1.7724
5.02,0.0084075922116822,0.013245,0.3934748990466831,46.2726,0.5312,-0.0465443883588732,76,1,1.043688879584867,28.565487626865146,0.0234018395874425,-68.60687774527561,22,6.982908000000002,-0.0052692760824495,0.0087637836830073,1,0.4612,7.692400000000001,11321.51824,113.2153824,0.997
5.54,-0.0087625102460818,0.1835999999999999,0.3945524236967794,105.0162,6.4656,-0.0774767162606163,8,18,1.04404418990521,5.322873727606006,0.0796582030173391,-10.505509528569874,38,22.574292,-0.0103608933952726,0.0314043668626353,36,2.3864,8.1152,15964.43048,159.6479048,1.8176
5.41,-0.017918475595315,0.1797,0.6509800964934845,83.91329999999999,7.4556,-0.1530372277980991,56,5,1.0440646491687258,3.2898225797882743,0.0830454798537399,-10.401311279514244,3,27.659307,-0.0078773167697175,0.0275197895348523,36,1.9474,8.0272,12843.54092,128.4364092,1.35
5.49,-0.0122125278265861,0.184065,0.5913528789792123,89.80769999999998,7.3668,-0.1359061376786918,48,14,1.0440965224205654,3.8707233897354314,0.0811256599947811,-12.870524020028816,3,28.028307,-0.009147025257508,0.0266588753751411,35,1.9678,7.946400000000001,12779.90988,127.8018988,1.3938
5.24,0.0144383072143815,0.128565,0.6565445166065236,65.9052,5.1648000000000005,-0.1291962881088897,63,9,1.0438701244634294,5.064955795931908,0.0707736449444595,-17.88758076940624,13,20.612232,-0.0087928377611531,0.022171175825554,15,1.4658000000000002,7.7709,11826.48438,118.2666438,1.1962
5.529999999999999,-0.00934465971002,0.176025,0.5419949754538025,88.7889,6.7584,-0.1163924392599054,43,30,1.0440578267491385,4.442941045715425,0.0763955275120227,-17.783737312944176,4,25.975323000000003,-0.0099009719770383,0.0235954029455166,23,1.7816000000000003,7.6721,11825.28586,118.2588586,1.4155
