T(K)		V(bohr^3)
0.0		14699.0384
10.0		14699.0391
20.0		14699.0504
30.0		14699.0994
40.0		14699.23
50.0		14699.4947
60.0		14699.9375
70.0		14700.5829
80.0		14701.4359
90.0		14702.4879
100.0		14703.7226
110.0		14705.1213
120.0		14706.6648
130.0		14708.3352
140.0		14710.1166
150.0		14711.995
160.0		14713.9582
170.0		14715.996
180.0		14718.0993
190.0		14720.2607
200.0		14722.4737
210.0		14724.7327
220.0		14727.033
230.0		14729.3705
240.0		14731.7418
250.0		14734.1437
260.0		14736.5738
270.0		14739.0297
280.0		14741.5095
290.0		14744.0114
300.0		14746.534
310.0		14749.0759
320.0		14751.6359
330.0		14754.213
340.0		14756.8061
350.0		14759.4143
360.0		14762.0368
370.0		14764.6725
380.0		14767.3212
390.0		14769.9818
400.0		14772.6537
410.0		14775.3364
420.0		14778.0293
430.0		14780.7319
440.0		14783.4439
450.0		14786.165
460.0		14788.8948
470.0		14791.6331
480.0		14794.3798
490.0		14797.1348
500.0		14799.8979
510.0		14802.6691
520.0		14805.4483
530.0		14808.2354
540.0		14811.0304
550.0		14813.8332
560.0		14816.6438
570.0		14819.462
580.0		14822.2877
590.0		14825.1209
600.0		14827.9615
610.0		14830.8094
620.0		14833.6646
630.0		14836.5268
640.0		14839.396
650.0		14842.2723
660.0		14845.1555
670.0		14848.0456
680.0		14850.9424
690.0		14853.8461
700.0		14856.7565
710.0		14859.6736
720.0		14862.5973
730.0		14865.5278
740.0		14868.4649
750.0		14871.4086
760.0		14874.359
770.0		14877.3159
780.0		14880.2795
790.0		14883.2497
800.0		14886.2265
810.0		14889.2099
820.0		14892.1999
830.0		14895.1965
840.0		14898.1998
850.0		14901.2097
860.0		14904.2262
870.0		14907.2494
880.0		14910.2793
890.0		14913.3158
900.0		14916.3593
910.0		14919.4093
920.0		14922.4661
930.0		14925.5296
940.0		14928.5999
950.0		14931.677
960.0		14934.7609
970.0		14937.8517
980.0		14940.9494
990.0		14944.0539
1000.0		14947.1654
1010.0		14950.2838
1020.0		14953.4092
1030.0		14956.5416
1040.0		14959.6811
1050.0		14962.8276
1060.0		14965.9813
1070.0		14969.142
1080.0		14972.3099
1090.0		14975.4851
1100.0		14978.6674
1110.0		14981.857
1120.0		14985.0539
1130.0		14988.2582
1140.0		14991.4698
1150.0		14994.6889
1160.0		14997.9153
1170.0		15001.1493
1180.0		15004.3908
1190.0		15007.6399
1200.0		15010.8965
1210.0		15014.1608
1220.0		15017.4328
1230.0		15020.7125
1240.0		15023.9999
1250.0		15027.2952
1260.0		15030.5983
1270.0		15033.9094
1280.0		15037.2283
1290.0		15040.5552
1300.0		15043.8902
1310.0		15047.2332
1320.0		15050.5844
1330.0		15053.9437
1340.0		15057.3113
1350.0		15060.687
1360.0		15064.0711
1370.0		15067.4636
1380.0		15070.8644
1390.0		15074.2737
1400.0		15077.6915
1410.0		15081.1179
1420.0		15084.5529
1430.0		15087.9965
1440.0		15091.4488
1450.0		15094.9099
1460.0		15098.3798
1470.0		15101.8585
1480.0		15105.3462
1490.0		15108.8428
1500.0		15112.3485
1510.0		15115.8632
1520.0		15119.3871
1530.0		15122.9202
1540.0		15126.4625
1550.0		15130.0141
1560.0		15133.5751
1570.0		15137.1455
1580.0		15140.7254
1590.0		15144.3149
1600.0		15147.9139
1610.0		15151.5226
1620.0		15155.141
1630.0		15158.7692
1640.0		15162.4072
1650.0		15166.0551
1660.0		15169.713
1670.0		15173.3809
1680.0		15177.0589
1690.0		15180.7471
1700.0		15184.4455
1710.0		15188.1541
1720.0		15191.8732
1730.0		15195.6026
1740.0		15199.3425
1750.0		15203.093
1760.0		15206.8541
1770.0		15210.6258
1780.0		15214.4084
1790.0		15218.2015
1800.0		15222.0058
1810.0		15225.821
1820.0		15229.6473
1830.0		15233.4847
1840.0		15237.3332
1850.0		15241.193
1860.0		15245.0641
1870.0		15248.9466
1880.0		15252.8406
1890.0		15256.7461
1900.0		15260.6632
1910.0		15264.592
1920.0		15268.5326
1930.0		15272.485
1940.0		15276.4494
1950.0		15280.4258
1960.0		15284.4142
1970.0		15288.4148
1980.0		15292.4277
1990.0		15296.4529
2000.0		15300.4905
2010.0		15304.5405
2020.0		15308.6032
2030.0		15312.6784
2040.0		15316.7664
2050.0		15320.8673
2060.0		15324.981
2070.0		15329.1077
2080.0		15333.2474
2090.0		15337.4004
2100.0		15341.5665
2110.0		15345.746
2120.0		15349.9389
2130.0		15354.1453
2140.0		15358.3652
2150.0		15362.5992
2160.0		15366.8467
2170.0		15371.1081
2180.0		15375.3834
2190.0		15379.6728
2200.0		15383.9763
2210.0		15388.294
2220.0		15392.6261
2230.0		15396.9726
2240.0		15401.3336
2250.0		15405.7092
2260.0		15410.0995
2270.0		15414.5047
2280.0		15418.9247
