T(K)		V(bohr^3)
0.0		14698.4952
10.0		14698.496
20.0		14698.5082
30.0		14698.5602
40.0		14698.6964
50.0		14698.9683
60.0		14699.4194
70.0		14700.0745
80.0		14700.9388
90.0		14702.0041
100.0		14703.2549
110.0		14704.6731
120.0		14706.2404
130.0		14707.9397
140.0		14709.7556
150.0		14711.6745
160.0		14713.6839
170.0		14715.7728
180.0		14717.9312
190.0		14720.1499
200.0		14722.4208
210.0		14724.7371
220.0		14727.0928
230.0		14729.4832
240.0		14731.9045
250.0		14734.3538
260.0		14736.8288
270.0		14739.3278
280.0		14741.8493
290.0		14744.3917
300.0		14746.9538
310.0		14749.5342
320.0		14752.1319
330.0		14754.7456
340.0		14757.3744
350.0		14760.0171
360.0		14762.6729
370.0		14765.3414
380.0		14768.0215
390.0		14770.7128
400.0		14773.4148
410.0		14776.1268
420.0		14778.8485
430.0		14781.5796
440.0		14784.3196
450.0		14787.0683
460.0		14789.8254
470.0		14792.5907
480.0		14795.3639
490.0		14798.1449
500.0		14800.9334
510.0		14803.7293
520.0		14806.5326
530.0		14809.3429
540.0		14812.1603
550.0		14814.9846
560.0		14817.8157
570.0		14820.6535
580.0		14823.498
590.0		14826.349
600.0		14829.2064
610.0		14832.0703
620.0		14834.9406
630.0		14837.8169
640.0		14840.6998
650.0		14843.5888
660.0		14846.4839
670.0		14849.3851
680.0		14852.2923
690.0		14855.2056
700.0		14858.1249
710.0		14861.0503
720.0		14863.9815
730.0		14866.9187
740.0		14869.8619
750.0		14872.8109
760.0		14875.7659
770.0		14878.7267
780.0		14881.6935
790.0		14884.6661
800.0		14887.6446
810.0		14890.629
820.0		14893.6193
830.0		14896.6154
840.0		14899.6175
850.0		14902.6254
860.0		14905.6393
870.0		14908.659
880.0		14911.6847
890.0		14914.7165
900.0		14917.7541
910.0		14920.7977
920.0		14923.8472
930.0		14926.9028
940.0		14929.9643
950.0		14933.0319
960.0		14936.1055
970.0		14939.1852
980.0		14942.271
990.0		14945.3629
1000.0		14948.461
1010.0		14951.5652
1020.0		14954.6755
1030.0		14957.7921
1040.0		14960.9149
1050.0		14964.044
1060.0		14967.1793
1070.0		14970.321
1080.0		14973.469
1090.0		14976.6233
1100.0		14979.7841
1110.0		14982.9513
1120.0		14986.1249
1130.0		14989.305
1140.0		14992.4916
1150.0		14995.6848
1160.0		14998.8845
1170.0		15002.0908
1180.0		15005.3038
1190.0		15008.5235
1200.0		15011.7499
1210.0		15014.983
1220.0		15018.2229
1230.0		15021.4696
1240.0		15024.7231
1250.0		15027.9836
1260.0		15031.2509
1270.0		15034.5253
1280.0		15037.8066
1290.0		15041.0949
1300.0		15044.3903
1310.0		15047.6929
1320.0		15051.0026
1330.0		15054.3194
1340.0		15057.6435
1350.0		15060.9748
1360.0		15064.3136
1370.0		15067.6596
1380.0		15071.0131
1390.0		15074.3739
1400.0		15077.7423
1410.0		15081.1182
1420.0		15084.5016
1430.0		15087.8927
1440.0		15091.2914
1450.0		15094.6979
1460.0		15098.112
1470.0		15101.534
1480.0		15104.9638
1490.0		15108.4015
1500.0		15111.8472
1510.0		15115.3008
1520.0		15118.7625
1530.0		15122.2322
1540.0		15125.7101
1550.0		15129.1961
1560.0		15132.6904
1570.0		15136.193
1580.0		15139.7039
1590.0		15143.2232
1600.0		15146.751
1610.0		15150.2873
1620.0		15153.832
1630.0		15157.3855
1640.0		15160.9475
1650.0		15164.5183
1660.0		15168.0978
1670.0		15171.6862
1680.0		15175.2835
1690.0		15178.8897
1700.0		15182.5049
1710.0		15186.1292
1720.0		15189.7626
1730.0		15193.4051
1740.0		15197.0569
1750.0		15200.7181
1760.0		15204.3885
1770.0		15208.0685
1780.0		15211.7579
1790.0		15215.4568
1800.0		15219.1652
1810.0		15222.8835
1820.0		15226.6115
1830.0		15230.3494
1840.0		15234.0971
1850.0		15237.8548
1860.0		15241.6225
1870.0		15245.4003
1880.0		15249.1883
1890.0		15252.9865
1900.0		15256.795
1910.0		15260.6138
1920.0		15264.4431
1930.0		15268.2829
1940.0		15272.1334
1950.0		15275.9945
1960.0		15279.8663
1970.0		15283.749
1980.0		15287.6425
1990.0		15291.5471
2000.0		15295.4627
2010.0		15299.3894
2020.0		15303.3274
2030.0		15307.2767
2040.0		15311.2373
2050.0		15315.2094
2060.0		15319.1931
2070.0		15323.1884
2080.0		15327.1954
2090.0		15331.2142
2100.0		15335.2449
2110.0		15339.2876
2120.0		15343.3424
2130.0		15347.4093
2140.0		15351.4884
2150.0		15355.5802
2160.0		15359.6841
2170.0		15363.8006
2180.0		15367.9298
2190.0		15372.0716
2200.0		15376.2263
2210.0		15380.3939
2220.0		15384.5745
2230.0		15388.7682
2240.0		15392.9751
2250.0		15397.1954
2260.0		15401.4291
2270.0		15405.6763
2280.0		15409.9371
2290.0		15414.2116
2300.0		15418.5
2310.0		15422.8024
2320.0		15427.1188
2330.0		15431.4493
2340.0		15435.7942
2350.0		15440.1534
2360.0		15444.5271
2370.0		15448.9155
2380.0		15453.3186
2390.0		15457.7365
2400.0		15462.1695
2410.0		15466.6175
2420.0		15471.0807
2430.0		15475.5592
2440.0		15480.0532
2450.0		15484.5628
2460.0		15489.0881
