T(K)		V(bohr^3)
0.0		14696.4984
10.0		14696.4992
20.0		14696.5101
30.0		14696.5576
40.0		14696.6852
50.0		14696.9452
60.0		14697.3813
70.0		14698.0177
80.0		14698.8587
90.0		14699.8954
100.0		14701.1114
110.0		14702.4877
120.0		14704.0058
130.0		14705.649
140.0		14707.4028
150.0		14709.2554
160.0		14711.1964
170.0		14713.2171
180.0		14715.309
190.0		14717.4644
200.0		14719.6753
210.0		14721.9342
220.0		14724.2342
230.0		14726.5688
240.0		14728.9329
250.0		14731.3226
260.0		14733.7349
270.0		14736.1681
280.0		14738.6211
290.0		14741.093
300.0		14743.5832
310.0		14746.091
320.0		14748.6156
330.0		14751.1562
340.0		14753.7119
350.0		14756.2818
360.0		14758.8651
370.0		14761.4612
380.0		14764.0692
390.0		14766.6889
400.0		14769.3195
410.0		14771.9607
420.0		14774.6119
430.0		14777.2729
440.0		14779.9434
450.0		14782.623
460.0		14785.3114
470.0		14788.0085
480.0		14790.7139
490.0		14793.4276
500.0		14796.1493
510.0		14798.8788
520.0		14801.616
530.0		14804.3608
540.0		14807.1131
550.0		14809.8726
560.0		14812.6394
570.0		14815.4133
580.0		14818.1943
590.0		14820.9822
600.0		14823.777
610.0		14826.5786
620.0		14829.387
630.0		14832.2021
640.0		14835.0239
650.0		14837.8521
660.0		14840.6873
670.0		14843.5289
680.0		14846.377
690.0		14849.2316
700.0		14852.0927
710.0		14854.9603
720.0		14857.8343
730.0		14860.7148
740.0		14863.6018
750.0		14866.4951
760.0		14869.3949
770.0		14872.3011
780.0		14875.2138
790.0		14878.1329
800.0		14881.0584
810.0		14883.9904
820.0		14886.9288
830.0		14889.8737
840.0		14892.8251
850.0		14895.783
860.0		14898.7474
870.0		14901.7183
880.0		14904.6958
890.0		14907.6799
900.0		14910.6705
910.0		14913.668
920.0		14916.672
930.0		14919.6826
940.0		14922.6999
950.0		14925.724
960.0		14928.7547
970.0		14931.7923
980.0		14934.8367
990.0		14937.8879
1000.0		14940.946
1010.0		14944.011
1020.0		14947.083
1030.0		14950.1619
1040.0		14953.2479
1050.0		14956.3409
1060.0		14959.441
1070.0		14962.5482
1080.0		14965.6626
1090.0		14968.7842
1100.0		14971.913
1110.0		14975.0491
1120.0		14978.1926
1130.0		14981.3434
1140.0		14984.5017
1150.0		14987.6674
1160.0		14990.8406
1170.0		14994.0214
1180.0		14997.2098
1190.0		15000.4058
1200.0		15003.6095
1210.0		15006.821
1220.0		15010.0402
1230.0		15013.2673
1240.0		15016.5023
1250.0		15019.7453
1260.0		15022.9962
1270.0		15026.2551
1280.0		15029.5222
1290.0		15032.7974
1300.0		15036.0808
1310.0		15039.3725
1320.0		15042.6725
1330.0		15045.9809
1340.0		15049.2977
1350.0		15052.623
1360.0		15055.9568
1370.0		15059.2992
1380.0		15062.6502
1390.0		15066.0101
1400.0		15069.3787
1410.0		15072.7562
1420.0		15076.1425
1430.0		15079.5378
1440.0		15082.9421
1450.0		15086.3556
1460.0		15089.7782
1470.0		15093.21
1480.0		15096.651
1490.0		15100.1015
1500.0		15103.5614
1510.0		15107.0307
1520.0		15110.5096
1530.0		15113.9982
1540.0		15117.4964
1550.0		15121.0044
1560.0		15124.5222
1570.0		15128.0499
1580.0		15131.5876
1590.0		15135.1354
1600.0		15138.6933
1610.0		15142.2614
1620.0		15145.8397
1630.0		15149.4284
1640.0		15153.0276
1650.0		15156.6372
1660.0		15160.2574
1670.0		15163.8883
1680.0		15167.5299
1690.0		15171.1823
1700.0		15174.8457
1710.0		15178.52
1720.0		15182.2054
1730.0		15185.9019
1740.0		15189.6096
1750.0		15193.3287
1760.0		15197.0591
1770.0		15200.8011
1780.0		15204.5546
1790.0		15208.3198
1800.0		15212.0967
1810.0		15215.8854
1820.0		15219.6859
1830.0		15223.4986
1840.0		15227.3235
1850.0		15231.1605
1860.0		15235.0098
1870.0		15238.8716
1880.0		15242.7457
1890.0		15246.6325
1900.0		15250.5319
1910.0		15254.4441
1920.0		15258.3692
1930.0		15262.3072
1940.0		15266.2583
1950.0		15270.2226
1960.0		15274.2001
1970.0		15278.191
1980.0		15282.1954
1990.0		15286.2134
2000.0		15290.245
2010.0		15294.2904
2020.0		15298.3498
2030.0		15302.4231
2040.0		15306.5105
2050.0		15310.6122
2060.0		15314.7282
2070.0		15318.8587
2080.0		15323.0037
2090.0		15327.1633
2100.0		15331.3378
2110.0		15335.5271
2120.0		15339.7314
2130.0		15343.9509
2140.0		15348.1856
2150.0		15352.4356
2160.0		15356.7015
2170.0		15360.9827
2180.0		15365.2797
2190.0		15369.5925
2200.0		15373.9212
2210.0		15378.2661
2220.0		15382.6272
2230.0		15387.0046
2240.0		15391.3985
2250.0		15395.809
2260.0		15400.2363
2270.0		15404.6804
2280.0		15409.1415
2290.0		15413.6197
2300.0		15418.1152
2310.0		15422.628
2320.0		15427.1584
2330.0		15431.7065
2340.0		15436.2723
2350.0		15440.8561
2360.0		15445.458
2370.0		15450.078
2380.0		15454.7164
2390.0		15459.3733
2400.0		15464.0488
2410.0		15468.7431
2420.0		15473.4563
2430.0		15478.1886
2440.0		15482.9401
2450.0		15487.7109
2460.0		15492.5012
2470.0		15497.3111
2480.0		15502.1409
2490.0		15506.9905
2500.0		15511.8603
2510.0		15516.7502
2520.0		15521.6606
2530.0		15526.5915
2540.0		15531.543
2550.0		15536.5154
2560.0		15541.5088
2570.0		15546.5234
2580.0		15551.5592
2590.0		15556.6165
2600.0		15561.6953
2610.0		15566.7959
2620.0		15571.9185
2630.0		15577.0631
2640.0		15582.2299
2650.0		15587.4191
2660.0		15592.6308
2670.0		15597.8652
2680.0		15603.1224
2690.0		15608.4027
2700.0		15613.7061
2710.0		15619.0328
2720.0		15624.3829
2730.0		15629.7567
2740.0		15635.1543
2750.0		15640.5758
2760.0		15646.0213
2770.0		15651.4912
2780.0		15656.9854
2790.0		15662.5041
2800.0		15668.0473
2810.0		15673.6156
2820.0		15679.209
2830.0		15684.8275
2840.0		15690.4712
2850.0		15696.1405
2860.0		15701.8352
2870.0		15707.5558
2880.0		15713.3022
2890.0		15719.0746
2900.0		15724.8732
2910.0		15730.6981
2920.0		15736.5494
2930.0		15742.4273
2940.0		15748.3319
2950.0		15754.2634
2960.0		15760.2219
2970.0		15766.2074
2980.0		15772.2202
2990.0		15778.2603
3000.0		15784.3278
