T(K)		B(GPa)
0.0		230.165
10.0		230.1649
20.0		230.1628
30.0		230.1535
40.0		230.1288
50.0		230.081
60.0		230.0064
70.0		229.9058
80.0		229.7824
90.0		229.64
100.0		229.4823
110.0		229.3125
120.0		229.1331
130.0		228.9461
140.0		228.753
150.0		228.5552
160.0		228.3535
170.0		228.1486
180.0		227.9412
190.0		227.7316
200.0		227.5202
210.0		227.3073
220.0		227.093
230.0		226.8776
240.0		226.6612
250.0		226.4438
260.0		226.2256
270.0		226.0067
280.0		225.787
290.0		225.5665
300.0		225.3455
310.0		225.1237
320.0		224.9013
330.0		224.6782
340.0		224.4545
350.0		224.2301
360.0		224.005
370.0		223.7791
380.0		223.5526
390.0		223.3253
400.0		223.0972
410.0		222.8683
420.0		222.6386
430.0		222.408
440.0		222.1765
450.0		221.9441
460.0		221.7107
470.0		221.4763
480.0		221.2408
490.0		221.0043
500.0		220.7667
510.0		220.5279
520.0		220.288
530.0		220.0468
540.0		219.8043
550.0		219.5606
560.0		219.3155
570.0		219.0691
580.0		218.8213
590.0		218.572
600.0		218.3213
610.0		218.0691
620.0		217.8154
630.0		217.5601
640.0		217.3033
650.0		217.0448
660.0		216.7848
670.0		216.5231
680.0		216.2597
690.0		215.9947
700.0		215.7279
710.0		215.4595
720.0		215.1893
730.0		214.9175
740.0		214.6438
750.0		214.3685
760.0		214.0914
770.0		213.8126
780.0		213.532
790.0		213.2497
800.0		212.9657
810.0		212.68
820.0		212.3926
830.0		212.1035
840.0		211.8127
850.0		211.5203
860.0		211.2263
870.0		210.9307
880.0		210.6335
890.0		210.3348
900.0		210.0345
910.0		209.7328
920.0		209.4297
930.0		209.1251
940.0		208.8192
950.0		208.512
960.0		208.2035
970.0		207.8937
980.0		207.5828
990.0		207.2707
1000.0		206.9574
1010.0		206.6432
1020.0		206.3279
1030.0		206.0116
1040.0		205.6945
1050.0		205.3765
1060.0		205.0576
1070.0		204.738
1080.0		204.4177
1090.0		204.0967
1100.0		203.7751
1110.0		203.4529
1120.0		203.1302
1130.0		202.807
1140.0		202.4834
1150.0		202.1595
1160.0		201.8352
1170.0		201.5106
1180.0		201.1858
1190.0		200.8608
1200.0		200.5356
1210.0		200.2104
1220.0		199.8851
1230.0		199.5597
1240.0		199.2344
1250.0		198.9091
1260.0		198.5839
1270.0		198.2589
1280.0		197.934
1290.0		197.6094
1300.0		197.2849
1310.0		196.9607
1320.0		196.6369
1330.0		196.3133
1340.0		195.9901
1350.0		195.6673
1360.0		195.345
1370.0		195.023
1380.0		194.7015
1390.0		194.3805
1400.0		194.0601
1410.0		193.7401
1420.0		193.4207
1430.0		193.1019
1440.0		192.7837
1450.0		192.4662
1460.0		192.1492
1470.0		191.8329
1480.0		191.5173
1490.0		191.2024
1500.0		190.8882
1510.0		190.5747
1520.0		190.2619
1530.0		189.9499
1540.0		189.6387
1550.0		189.3283
1560.0		189.0186
1570.0		188.7098
1580.0		188.4018
1590.0		188.0946
1600.0		187.7883
1610.0		187.4828
1620.0		187.1783
1630.0		186.8746
1640.0		186.5718
1650.0		186.27
1660.0		185.969
1670.0		185.6691
1680.0		185.37
1690.0		185.072
1700.0		184.7749
1710.0		184.4789
1720.0		184.1838
1730.0		183.8898
1740.0		183.5968
1750.0		183.3048
1760.0		183.014
1770.0		182.7242
1780.0		182.4355
1790.0		182.1479
1800.0		181.8614
1810.0		181.5761
1820.0		181.292
1830.0		181.009
1840.0		180.7272
1850.0		180.4466
1860.0		180.1672
1870.0		179.8891
1880.0		179.6122
1890.0		179.3366
1900.0		179.0623
1910.0		178.7893
1920.0		178.5176
1930.0		178.2473
1940.0		177.9783
1950.0		177.7107
1960.0		177.4446
1970.0		177.1798
1980.0		176.9165
1990.0		176.6546
2000.0		176.3943
2010.0		176.1354
2020.0		175.878
2030.0		175.6222
2040.0		175.368
2050.0		175.1153
2060.0		174.8642
2070.0		174.6148
2080.0		174.367
2090.0		174.1209
2100.0		173.8765
2110.0		173.6338
2120.0		173.3928
2130.0		173.1536
2140.0		172.9161
2150.0		172.6805
2160.0		172.4467
2170.0		172.2147
2180.0		171.9846
2190.0		171.7564
2200.0		171.53
2210.0		171.3057
2220.0		171.0833
2230.0		170.8628
2240.0		170.6444
2250.0		170.428
2260.0		170.2136
2270.0		170.0013
2280.0		169.7911
2290.0		169.583
2300.0		169.377
2310.0		169.1732
2320.0		168.9716
2330.0		168.7721
2340.0		168.5749
2350.0		168.38
2360.0		168.1872
2370.0		167.9968
2380.0		167.8087
2390.0		167.6229
2400.0		167.4395
2410.0		167.2584
2420.0		167.0797
2430.0		166.9034
2440.0		166.7295
2450.0		166.5581
2460.0		166.3891
2470.0		166.2227
2480.0		166.0587
2490.0		165.8972
2500.0		165.7383
2510.0		165.582
2520.0		165.4282
2530.0		165.277
2540.0		165.1285
2550.0		164.9825
2560.0		164.8392
2570.0		164.6986
2580.0		164.5606
2590.0		164.4254
2600.0		164.2928
2610.0		164.163
2620.0		164.0359
2630.0		163.9115
2640.0		163.79
2650.0		163.6712
2660.0		163.5552
2670.0		163.442
2680.0		163.3316
2690.0		163.2241
2700.0		163.1194
2710.0		163.0175
2720.0		162.9186
2730.0		162.8225
2740.0		162.7293
2750.0		162.639
2760.0		162.5516
2770.0		162.4671
2780.0		162.3856
2790.0		162.307
2800.0		162.2313
2810.0		162.1586
2820.0		162.0889
2830.0		162.0221
2840.0		161.9583
2850.0		161.8975
2860.0		161.8396
2870.0		161.7848
2880.0		161.733
2890.0		161.6841
2900.0		161.6383
2910.0		161.5955
2920.0		161.5556
2930.0		161.5189
2940.0		161.4851
2950.0		161.4543
2960.0		161.4266
2970.0		161.4019
2980.0		161.3802
2990.0		161.3615
3000.0		161.3459
