T(K)		B(GPa)
0.0		228.0897
10.0		228.0896
20.0		228.088
30.0		228.0808
40.0		228.0615
50.0		228.023
60.0		227.961
70.0		227.8755
80.0		227.7686
90.0		227.6438
100.0		227.5043
110.0		227.353
120.0		227.1923
130.0		227.0242
140.0		226.8503
150.0		226.6718
160.0		226.4899
170.0		226.3052
180.0		226.1184
190.0		225.9298
200.0		225.7395
210.0		225.5477
220.0		225.3544
230.0		225.1594
240.0		224.9627
250.0		224.7642
260.0		224.5641
270.0		224.3624
280.0		224.1591
290.0		223.9545
300.0		223.7486
310.0		223.5416
320.0		223.3336
330.0		223.1245
340.0		222.9145
350.0		222.7036
360.0		222.4918
370.0		222.2791
380.0		222.0654
390.0		221.8509
400.0		221.6354
410.0		221.419
420.0		221.2016
430.0		220.9833
440.0		220.764
450.0		220.5437
460.0		220.3224
470.0		220.1001
480.0		219.8769
490.0		219.6526
500.0		219.4273
510.0		219.2011
520.0		218.9738
530.0		218.7456
540.0		218.5164
550.0		218.2862
560.0		218.055
570.0		217.8229
580.0		217.5899
590.0		217.3558
600.0		217.1209
610.0		216.885
620.0		216.6482
630.0		216.4104
640.0		216.1718
650.0		215.9322
660.0		215.6917
670.0		215.4503
680.0		215.208
690.0		214.9649
700.0		214.7208
710.0		214.4758
720.0		214.2299
730.0		213.9832
740.0		213.7356
750.0		213.487
760.0		213.2376
770.0		212.9873
780.0		212.7362
790.0		212.4841
800.0		212.2312
810.0		211.9774
820.0		211.7227
830.0		211.4671
840.0		211.2106
850.0		210.9533
860.0		210.6951
870.0		210.436
880.0		210.176
890.0		209.9152
900.0		209.6535
910.0		209.3909
920.0		209.1274
930.0		208.863
940.0		208.5978
950.0		208.3317
960.0		208.0647
970.0		207.7969
980.0		207.5282
990.0		207.2585
1000.0		206.9881
1010.0		206.7167
1020.0		206.4445
1030.0		206.1714
1040.0		205.8974
1050.0		205.6225
1060.0		205.3468
1070.0		205.0702
1080.0		204.7927
1090.0		204.5144
1100.0		204.2352
1110.0		203.9551
1120.0		203.6741
1130.0		203.3922
1140.0		203.1095
1150.0		202.8259
1160.0		202.5414
1170.0		202.2561
1180.0		201.9699
1190.0		201.6828
1200.0		201.3948
1210.0		201.1059
1220.0		200.8162
1230.0		200.5256
1240.0		200.2341
1250.0		199.9418
1260.0		199.6486
1270.0		199.3544
1280.0		199.0595
1290.0		198.7636
1300.0		198.4669
1310.0		198.1693
1320.0		197.8708
1330.0		197.5714
1340.0		197.2711
1350.0		196.97
1360.0		196.668
1370.0		196.3651
1380.0		196.0613
1390.0		195.7567
