T(K)		B(GPa)
0.0		230.0554
10.0		230.0553
20.0		230.055
30.0		230.0523
40.0		230.0412
50.0		230.0133
60.0		229.9627
70.0		229.8877
80.0		229.7895
90.0		229.6707
100.0		229.5342
110.0		229.3829
120.0		229.2192
130.0		229.0454
140.0		228.8634
150.0		228.6746
160.0		228.4804
170.0		228.2814
180.0		228.0782
190.0		227.8711
200.0		227.66
210.0		227.445
220.0		227.2261
230.0		227.0035
240.0		226.7774
250.0		226.5481
260.0		226.316
270.0		226.0814
280.0		225.8445
290.0		225.6056
300.0		225.3647
310.0		225.1221
320.0		224.8778
330.0		224.6319
340.0		224.3844
350.0		224.1354
360.0		223.8849
370.0		223.633
380.0		223.3797
390.0		223.1251
400.0		222.8692
410.0		222.6119
420.0		222.3534
430.0		222.0936
440.0		221.8326
450.0		221.5704
460.0		221.307
470.0		221.0424
480.0		220.7767
490.0		220.5098
500.0		220.2418
510.0		219.9726
520.0		219.7024
530.0		219.431
540.0		219.1585
550.0		218.8849
560.0		218.6103
570.0		218.3346
580.0		218.0578
590.0		217.78
600.0		217.5011
610.0		217.2211
620.0		216.9401
630.0		216.6581
640.0		216.375
650.0		216.0909
660.0		215.8058
670.0		215.5196
680.0		215.2325
690.0		214.9443
700.0		214.6551
710.0		214.3648
720.0		214.0736
730.0		213.7814
740.0		213.4881
750.0		213.1939
760.0		212.8986
770.0		212.6024
780.0		212.3052
790.0		212.0069
800.0		211.7077
810.0		211.4075
820.0		211.1063
830.0		210.8042
840.0		210.501
850.0		210.1969
860.0		209.8918
870.0		209.5857
880.0		209.2786
890.0		208.9706
900.0		208.6615
910.0		208.3516
920.0		208.0406
930.0		207.7287
940.0		207.4158
950.0		207.102
960.0		206.7872
970.0		206.4714
980.0		206.1547
990.0		205.8371
1000.0		205.5184
1010.0		205.1989
1020.0		204.8784
1030.0		204.5569
1040.0		204.2345
1050.0		203.9111
1060.0		203.5869
1070.0		203.2616
1080.0		202.9355
1090.0		202.6084
1100.0		202.2803
1110.0		201.9514
1120.0		201.6215
1130.0		201.2907
1140.0		200.9589
1150.0		200.6263
1160.0		200.2927
1170.0		199.9582
1180.0		199.6228
1190.0		199.2865
1200.0		198.9493
1210.0		198.6112
1220.0		198.2722
1230.0		197.9323
1240.0		197.5915
1250.0		197.2498
1260.0		196.9072
1270.0		196.5637
1280.0		196.2194
1290.0		195.8741
1300.0		195.528
1310.0		195.181
1320.0		194.8332
1330.0		194.4844
1340.0		194.1349
1350.0		193.7844
1360.0		193.4331
1370.0		193.081
1380.0		192.728
1390.0		192.3742
1400.0		192.0195
1410.0		191.664
1420.0		191.3077
1430.0		190.9505
1440.0		190.5925
1450.0		190.2337
1460.0		189.8741
1470.0		189.5137
1480.0		189.1525
1490.0		188.7905
1500.0		188.4277
1510.0		188.0641
1520.0		187.6997
1530.0		187.3345
1540.0		186.9686
1550.0		186.6019
1560.0		186.2345
1570.0		185.8663
1580.0		185.4973
1590.0		185.1277
1600.0		184.7572
1610.0		184.3861
1620.0		184.0142
1630.0		183.6416
1640.0		183.2683
1650.0		182.8943
1660.0		182.5196
1670.0		182.1442
1680.0		181.7681
1690.0		181.3914
1700.0		181.014
1710.0		180.6359
1720.0		180.2572
1730.0		179.8778
1740.0		179.4978
1750.0		179.1171
1760.0		178.7359
1770.0		178.354
1780.0		177.9716
1790.0		177.5885
1800.0		177.2048
1810.0		176.8206
1820.0		176.4358
1830.0		176.0505
1840.0		175.6646
1850.0		175.2781
1860.0		174.8911
1870.0		174.5037
1880.0		174.1157
1890.0		173.7272
1900.0		173.3382
1910.0		172.9487
1920.0		172.5588
1930.0		172.1685
1940.0		171.7776
1950.0		171.3864
1960.0		170.9947
1970.0		170.6027
1980.0		170.2102
1990.0		169.8173
2000.0		169.4241
2010.0		169.0306
2020.0		168.6366
2030.0		168.2424
2040.0		167.8478
2050.0		167.453
2060.0		167.0578
2070.0		166.6624
2080.0		166.2667
2090.0		165.8708
2100.0		165.4746
2110.0		165.0782
2120.0		164.6816
2130.0		164.2849
2140.0		163.8879
2150.0		163.4909
2160.0		163.0936
2170.0		162.6963
2180.0		162.2989
2190.0		161.9014
2200.0		161.5038
2210.0		161.1061
2220.0		160.7085
2230.0		160.3108
2240.0		159.9132
2250.0		159.5155
2260.0		159.1179
2270.0		158.7204
2280.0		158.323
2290.0		157.9257
2300.0		157.5285
2310.0		157.1314
2320.0		156.7345
2330.0		156.3378
2340.0		155.9414
2350.0		155.5451
2360.0		155.1491
2370.0		154.7534
2380.0		154.3581
2390.0		153.963
2400.0		153.5683
2410.0		153.174
2420.0		152.78
2430.0		152.3865
2440.0		151.9935
2450.0		151.6009
2460.0		151.2089
2470.0		150.8173
2480.0		150.4264
2490.0		150.036
2500.0		149.6462
2510.0		149.2571
2520.0		148.8686
2530.0		148.4809
2540.0		148.0939
2550.0		147.7076
2560.0		147.3221
2570.0		146.9375
2580.0		146.5537
2590.0		146.1707
2600.0		145.7887
2610.0		145.4077
2620.0		145.0276
2630.0		144.6485
2640.0		144.2705
2650.0		143.8935
2660.0		143.5177
2670.0		143.143
2680.0		142.7695
2690.0		142.3972
2700.0		142.0261
2710.0		141.6564
2720.0		141.2879
2730.0		140.9209
2740.0		140.5552
2750.0		140.191
2760.0		139.8282
2770.0		139.467
2780.0		139.1073
2790.0		138.7492
2800.0		138.3927
2810.0		138.0379
2820.0		137.6848
2830.0		137.3335
2840.0		136.9839
2850.0		136.6362
2860.0		136.2903
2870.0		135.9464
2880.0		135.6044
2890.0		135.2645
2900.0		134.9265
2910.0		134.5907
2920.0		134.257
2930.0		133.9254
2940.0		133.5961
2950.0		133.269
2960.0		132.9442
2970.0		132.6218
2980.0		132.3018
2990.0		131.9842
3000.0		131.6691
