T(K)		V(bohr^3)
0.0		14689.432
10.0		14689.4328
20.0		14689.4455
30.0		14689.5008
40.0		14689.6501
50.0		14689.9538
60.0		14690.4597
70.0		14691.1923
80.0		14692.1547
90.0		14693.3354
100.0		14694.7158
110.0		14696.2746
120.0		14697.9907
130.0		14699.8445
140.0		14701.8184
150.0		14703.8973
160.0		14706.0678
170.0		14708.3188
180.0		14710.6406
190.0		14713.0248
200.0		14715.4646
210.0		14717.9537
220.0		14720.4871
230.0		14723.0603
240.0		14725.6694
250.0		14728.3111
260.0		14730.9825
270.0		14733.681
280.0		14736.4044
290.0		14739.1508
300.0		14741.9184
310.0		14744.7057
320.0		14747.5114
330.0		14750.3343
340.0		14753.1733
350.0		14756.0274
360.0		14758.8959
370.0		14761.7779
380.0		14764.6727
390.0		14767.5798
400.0		14770.4987
410.0		14773.4288
420.0		14776.3696
430.0		14779.3208
440.0		14782.2819
450.0		14785.2527
460.0		14788.2329
470.0		14791.2221
480.0		14794.2201
490.0		14797.2267
500.0		14800.2417
510.0		14803.2648
520.0		14806.2961
530.0		14809.3352
540.0		14812.382
550.0		14815.4365
560.0		14818.4985
570.0		14821.5679
580.0		14824.6447
590.0		14827.7287
600.0		14830.8199
610.0		14833.9182
620.0		14837.0236
630.0		14840.136
640.0		14843.2554
650.0		14846.3817
660.0		14849.515
670.0		14852.6552
680.0		14855.8023
690.0		14858.9562
700.0		14862.1171
710.0		14865.2848
720.0		14868.4595
730.0		14871.641
740.0		14874.8294
750.0		14878.0247
760.0		14881.227
770.0		14884.4363
780.0		14887.6525
790.0		14890.8757
800.0		14894.106
810.0		14897.3434
820.0		14900.5879
830.0		14903.8395
840.0		14907.0984
850.0		14910.3644
860.0		14913.6378
870.0		14916.9185
880.0		14920.2068
890.0		14923.5024
900.0		14926.8054
910.0		14930.116
920.0		14933.4343
930.0		14936.7601
940.0		14940.0938
950.0		14943.4352
960.0		14946.7844
970.0		14950.1416
980.0		14953.5068
990.0		14956.88
1000.0		14960.2614
1010.0		14963.651
1020.0		14967.0488
1030.0		14970.455
1040.0		14973.8696
1050.0		14977.2927
1060.0		14980.7244
1070.0		14984.1647
1080.0		14987.6138
1090.0		14991.0717
1100.0		14994.5385
1110.0		14998.0142
1120.0		15001.499
1130.0		15004.993
1140.0		15008.4961
1150.0		15012.0086
1160.0		15015.5304
1170.0		15019.0618
1180.0		15022.6027
1190.0		15026.1532
1200.0		15029.7135
1210.0		15033.2836
1220.0		15036.8636
1230.0		15040.4536
1240.0		15044.0537
1250.0		15047.664
1260.0		15051.2845
1270.0		15054.9153
1280.0		15058.5566
1290.0		15062.2084
1300.0		15065.8709
1310.0		15069.544
1320.0		15073.2279
1330.0		15076.9227
1340.0		15080.6284
1350.0		15084.3452
1360.0		15088.0731
1370.0		15091.8123
1380.0		15095.5627
1390.0		15099.3245
1400.0		15103.0978
1410.0		15106.8826
1420.0		15110.6791
1430.0		15114.4873
1440.0		15118.3073
1450.0		15122.1391
1460.0		15125.983
1470.0		15129.8388
1480.0		15133.7068
1490.0		15137.587
1500.0		15141.4794
1510.0		15145.3842
1520.0		15149.3014
1530.0		15153.2311
1540.0		15157.1734
1550.0		15161.1283
1560.0		15165.0959
1570.0		15169.0762
1580.0		15173.0694
1590.0		15177.0756
1600.0		15181.0946
1610.0		15185.1268
1620.0		15189.172
1630.0		15193.2303
1640.0		15197.3019
1650.0		15201.3868
1660.0		15205.485
1670.0		15209.5963
1680.0		15213.7214
1690.0		15217.8599
1700.0		15222.012
1710.0		15226.1777
1720.0		15230.357
1730.0		15234.55
1740.0		15238.7567
1750.0		15242.9773
1760.0		15247.2116
1770.0		15251.4598
1780.0		15255.7219
1790.0		15259.9979
1800.0		15264.2879
1810.0		15268.592
1820.0		15272.9101
1830.0		15277.2422
1840.0		15281.5885
1850.0		15285.9489
1860.0		15290.3235
1870.0		15294.7123
1880.0		15299.1153
1890.0		15303.5326
1900.0		15307.9642
1910.0		15312.41
1920.0		15316.8701
1930.0		15321.3446
1940.0		15325.8334
1950.0		15330.3366
1960.0		15334.8542
1970.0		15339.3861
1980.0		15343.9325
1990.0		15348.4932
2000.0		15353.0684
2010.0		15357.658
2020.0		15362.262
2030.0		15366.8804
2040.0		15371.5133
2050.0		15376.1609
2060.0		15380.8227
2070.0		15385.4989
2080.0		15390.1895
2090.0		15394.8946
2100.0		15399.6141
2110.0		15404.348
2120.0		15409.0964
2130.0		15413.8591
2140.0		15418.6361
2150.0		15423.4276
2160.0		15428.2334
2170.0		15433.0535
2180.0		15437.8879
2190.0		15442.7366
2200.0		15447.5996
2210.0		15452.4768
2220.0		15457.3683
2230.0		15462.2739
2240.0		15467.1936
2250.0		15472.1275
2260.0		15477.0755
2270.0		15482.0375
2280.0		15487.0136
2290.0		15492.0036
2300.0		15497.0075
2310.0		15502.0254
2320.0		15507.0571
2330.0		15512.1025
2340.0		15517.1615
2350.0		15522.2347
2360.0		15527.3213
2370.0		15532.4214
2380.0		15537.5351
2390.0		15542.6623
2400.0		15547.8028
2410.0		15552.9567
2420.0		15558.1239
2430.0		15563.3042
2440.0		15568.4977
2450.0		15573.7043
2460.0		15578.9238
2470.0		15584.1563
2480.0		15589.4016
2490.0		15594.6596
2500.0		15599.9302
2510.0		15605.2134
2520.0		15610.5088
2530.0		15615.817
2540.0		15621.1373
2550.0		15626.4699
2560.0		15631.8145
2570.0		15637.1711
2580.0		15642.5396
2590.0		15647.9198
2600.0		15653.3117
2610.0		15658.7151
2620.0		15664.1299
2630.0		15669.556
2640.0		15674.9933
2650.0		15680.4417
2660.0		15685.9009
2670.0		15691.371
2680.0		15696.8517
2690.0		15702.3429
2700.0		15707.8445
2710.0		15713.3564
2720.0		15718.8783
2730.0		15724.4102
2740.0		15729.952
2750.0		15735.5033
2760.0		15741.0642
2770.0		15746.6345
2780.0		15752.2139
2790.0		15757.8023
2800.0		15763.3996
2810.0		15769.0056
2820.0		15774.6201
2830.0		15780.243
2840.0		15785.8741
2850.0		15791.5132
2860.0		15797.1601
2870.0		15802.8147
2880.0		15808.4767
2890.0		15814.146
2900.0		15819.8225
2910.0		15825.5058
2920.0		15831.1959
2930.0		15836.8925
2940.0		15842.5955
2950.0		15848.3046
2960.0		15854.0196
2970.0		15859.7404
2980.0		15865.4668
2990.0		15871.1985
3000.0		15876.9353
