T(K)		V(bohr^3)
0.0		14701.235
10.0		14701.2359
20.0		14701.2496
30.0		14701.3068
40.0		14701.4509
50.0		14701.7293
60.0		14702.1815
70.0		14702.829
80.0		14703.6753
90.0		14704.7112
100.0		14705.9209
110.0		14707.2865
120.0		14708.79
130.0		14710.4148
140.0		14712.1459
150.0		14713.97
160.0		14715.8757
170.0		14717.8534
180.0		14719.8948
190.0		14721.993
200.0		14724.142
210.0		14726.3366
220.0		14728.5725
230.0		14730.8458
240.0		14733.1532
250.0		14735.4917
260.0		14737.8587
270.0		14740.252
280.0		14742.6697
290.0		14745.11
300.0		14747.5714
310.0		14750.0525
320.0		14752.5521
330.0		14755.0692
340.0		14757.6028
350.0		14760.1521
360.0		14762.7161
370.0		14765.2945
380.0		14767.8866
390.0		14770.4918
400.0		14773.1096
410.0		14775.7396
420.0		14778.3813
430.0		14781.0344
440.0		14783.6987
450.0		14786.3737
460.0		14789.0592
470.0		14791.7551
480.0		14794.461
490.0		14797.1767
500.0		14799.9022
510.0		14802.6372
520.0		14805.3816
530.0		14808.1352
540.0		14810.898
550.0		14813.6698
560.0		14816.4506
570.0		14819.2401
580.0		14822.0385
590.0		14824.8455
600.0		14827.6612
610.0		14830.4855
620.0		14833.3182
630.0		14836.1595
640.0		14839.0092
650.0		14841.8674
660.0		14844.7339
670.0		14847.6088
680.0		14850.492
690.0		14853.3836
700.0		14856.2836
710.0		14859.1918
720.0		14862.1084
730.0		14865.0333
740.0		14867.9665
750.0		14870.908
760.0		14873.8579
770.0		14876.8161
780.0		14879.7827
790.0		14882.7576
800.0		14885.741
810.0		14888.7328
820.0		14891.733
830.0		14894.7416
840.0		14897.7588
850.0		14900.7845
860.0		14903.8187
870.0		14906.8614
880.0		14909.9128
890.0		14912.9731
900.0		14916.0419
910.0		14919.1193
920.0		14922.2056
930.0		14925.3006
940.0		14928.4045
950.0		14931.5173
960.0		14934.639
970.0		14937.7697
980.0		14940.9094
990.0		14944.0581
1000.0		14947.216
1010.0		14950.3831
1020.0		14953.5594
1030.0		14956.745
1040.0		14959.9399
1050.0		14963.1442
1060.0		14966.358
1070.0		14969.5812
1080.0		14972.814
1090.0		14976.0564
1100.0		14979.3085
1110.0		14982.5704
1120.0		14985.842
1130.0		14989.1236
1140.0		14992.415
1150.0		14995.7164
1160.0		14999.0279
1170.0		15002.3496
1180.0		15005.6814
1190.0		15009.0235
1200.0		15012.3759
1210.0		15015.7387
1220.0		15019.112
1230.0		15022.4958
1240.0		15025.8902
1250.0		15029.2954
1260.0		15032.7112
1270.0		15036.138
1280.0		15039.5756
1290.0		15043.0242
1300.0		15046.4839
1310.0		15049.9547
1320.0		15053.4367
1330.0		15056.9301
1340.0		15060.4348
1350.0		15063.951
1360.0		15067.4787
1370.0		15071.018
1380.0		15074.5691
1390.0		15078.1319
1400.0		15081.7066
1410.0		15085.2932
1420.0		15088.8919
1430.0		15092.5027
1440.0		15096.1258
1450.0		15099.7611
1460.0		15103.4089
1470.0		15107.0691
1480.0		15110.7419
1490.0		15114.4273
1500.0		15118.1255
1510.0		15121.8365
1520.0		15125.5605
1530.0		15129.2975
1540.0		15133.0476
1550.0		15136.811
1560.0		15140.5876
1570.0		15144.3777
1580.0		15148.1813
1590.0		15151.9985
1600.0		15155.8293
1610.0		15159.674
1620.0		15163.5326
1630.0		15167.4052
1640.0		15171.2919
1650.0		15175.1927
1660.0		15179.1079
1670.0		15183.0375
1680.0		15186.9816
1690.0		15190.9403
1700.0		15194.9138
1710.0		15198.902
1720.0		15202.9052
1730.0		15206.9234
