T(K)		B(GPa)
0.0		229.079
10.0		229.079
20.0		229.0785
30.0		229.0754
40.0		229.0633
50.0		229.034
60.0		228.9819
70.0		228.9057
80.0		228.8069
90.0		228.689
100.0		228.5556
110.0		228.4101
120.0		228.2554
130.0		228.0931
140.0		227.924
150.0		227.7482
160.0		227.5659
170.0		227.3772
180.0		227.1827
190.0		226.9834
200.0		226.7799
210.0		226.5728
220.0		226.3627
230.0		226.1498
240.0		225.9345
250.0		225.7169
260.0		225.4971
270.0		225.2753
280.0		225.0516
290.0		224.8261
300.0		224.5988
310.0		224.3699
320.0		224.1392
330.0		223.907
340.0		223.6732
350.0		223.4379
360.0		223.2011
370.0		222.9629
380.0		222.7231
390.0		222.482
400.0		222.2395
410.0		221.9956
420.0		221.7503
430.0		221.5037
440.0		221.2557
450.0		221.0064
460.0		220.7558
470.0		220.5039
480.0		220.2506
490.0		219.9961
500.0		219.7403
510.0		219.4832
520.0		219.2248
530.0		218.9652
540.0		218.7043
550.0		218.4421
560.0		218.1787
570.0		217.9141
580.0		217.6482
590.0		217.381
600.0		217.1126
610.0		216.843
620.0		216.5721
630.0		216.3
640.0		216.0267
650.0		215.7521
660.0		215.4763
670.0		215.1993
680.0		214.9211
690.0		214.6416
700.0		214.3609
710.0		214.079
720.0		213.7959
730.0		213.5116
740.0		213.2261
750.0		212.9393
760.0		212.6514
770.0		212.3622
780.0		212.0719
790.0		211.7803
800.0		211.4875
810.0		211.1935
820.0		210.8984
830.0		210.602
840.0		210.3044
850.0		210.0056
860.0		209.7056
870.0		209.4045
880.0		209.1021
890.0		208.7985
900.0		208.4938
910.0		208.1878
920.0		207.8807
930.0		207.5724
940.0		207.2629
950.0		206.9522
960.0		206.6403
970.0		206.3272
980.0		206.013
990.0		205.6975
1000.0		205.3809
1010.0		205.0631
1020.0		204.7442
1030.0		204.424
1040.0		204.1027
1050.0		203.7802
1060.0		203.4566
1070.0		203.1317
1080.0		202.8057
1090.0		202.4786
1100.0		202.1502
1110.0		201.8207
1120.0		201.4901
1130.0		201.1583
1140.0		200.8253
1150.0		200.4912
1160.0		200.1559
1170.0		199.8194
1180.0		199.4818
1190.0		199.1431
1200.0		198.8032
1210.0		198.4622
1220.0		198.12
1230.0		197.7767
1240.0		197.4322
1250.0		197.0867
1260.0		196.7399
1270.0		196.3921
1280.0		196.0431
1290.0		195.693
1300.0		195.3418
1310.0		194.9894
1320.0		194.636
1330.0		194.2814
1340.0		193.9257
1350.0		193.5689
1360.0		193.211
1370.0		192.852
1380.0		192.4919
1390.0		192.1307
1400.0		191.7684
1410.0		191.405
1420.0		191.0405
1430.0		190.675
1440.0		190.3083
1450.0		189.9406
1460.0		189.5719
1470.0		189.202
1480.0		188.8311
1490.0		188.4591
1500.0		188.0861
1510.0		187.7121
1520.0		187.337
1530.0		186.9608
1540.0		186.5836
1550.0		186.2054
1560.0		185.8262
1570.0		185.4459
1580.0		185.0646
1590.0		184.6823
1600.0		184.2991
1610.0		183.9148
1620.0		183.5295
1630.0		183.1432
1640.0		182.756
1650.0		182.3677
1660.0		181.9785
1670.0		181.5884
1680.0		181.1973
1690.0		180.8052
1700.0		180.4122
1710.0		180.0182
1720.0		179.6234
1730.0		179.2276
1740.0		178.8309
1750.0		178.4332
1760.0		178.0347
1770.0		177.6353
1780.0		177.235
1790.0		176.8339
1800.0		176.4318
1810.0		176.0289
1820.0		175.6252
1830.0		175.2206
1840.0		174.8152
1850.0		174.409
1860.0		174.002
1870.0		173.5941
1880.0		173.1855
1890.0		172.7761
1900.0		172.3659
1910.0		171.9549
1920.0		171.5432
1930.0		171.1308
1940.0		170.7177
1950.0		170.3038
1960.0		169.8892
1970.0		169.4739
1980.0		169.058
1990.0		168.6414
2000.0		168.2241
2010.0		167.8062
2020.0		167.3876
2030.0		166.9685
2040.0		166.5487
2050.0		166.1284
2060.0		165.7075
2070.0		165.286
2080.0		164.864
2090.0		164.4415
2100.0		164.0185
2110.0		163.5949
2120.0		163.1709
2130.0		162.7464
2140.0		162.3215
2150.0		161.8962
2160.0		161.4704
2170.0		161.0443
2180.0		160.6177
2190.0		160.1909
2200.0		159.7636
2210.0		159.3361
2220.0		158.9083
2230.0		158.4802
2240.0		158.0519
2250.0		157.6233
2260.0		157.1945
2270.0		156.7655
2280.0		156.3363
2290.0		155.907
2300.0		155.4776
