T(K)		B(GPa)
0.0		230.3569
10.0		230.357
20.0		230.358
30.0		230.3604
40.0		230.3582
50.0		230.3408
60.0		230.2998
70.0		230.2319
80.0		230.1375
90.0		230.0194
100.0		229.8811
110.0		229.7258
120.0		229.5563
130.0		229.3749
140.0		229.1835
150.0		228.9834
160.0		228.776
170.0		228.5623
180.0		228.3432
190.0		228.1196
200.0		227.8919
210.0		227.6606
220.0		227.4261
230.0		227.1887
240.0		226.9485
250.0		226.7059
260.0		226.4609
270.0		226.2138
280.0		225.9646
290.0		225.7135
300.0		225.4605
310.0		225.2058
320.0		224.9493
330.0		224.6912
340.0		224.4316
350.0		224.1703
360.0		223.9076
370.0		223.6434
380.0		223.3777
390.0		223.1107
400.0		222.8422
410.0		222.5724
420.0		222.3013
430.0		222.0288
440.0		221.755
450.0		221.4799
460.0		221.2036
470.0		220.926
480.0		220.6472
490.0		220.3671
500.0		220.0858
510.0		219.8032
520.0		219.5195
530.0		219.2345
540.0		218.9484
550.0		218.6611
560.0		218.3725
570.0		218.0828
580.0		217.792
590.0		217.4999
600.0		217.2067
610.0		216.9124
620.0		216.6169
630.0		216.3202
640.0		216.0224
650.0		215.7234
660.0		215.4233
670.0		215.1221
680.0		214.8197
690.0		214.5162
700.0		214.2116
710.0		213.9059
720.0		213.599
730.0		213.291
740.0		212.9819
750.0		212.6716
760.0		212.3602
770.0		212.0478
780.0		211.7342
790.0		211.4195
800.0		211.1037
810.0		210.7867
820.0		210.4687
830.0		210.1496
840.0		209.8293
850.0		209.508
860.0		209.1856
870.0		208.862
880.0		208.5374
890.0		208.2116
900.0		207.8848
910.0		207.5569
920.0		207.2279
930.0		206.8978
940.0		206.5666
950.0		206.2343
960.0		205.901
970.0		205.5665
980.0		205.231
990.0		204.8944
1000.0		204.5568
1010.0		204.218
1020.0		203.8782
1030.0		203.5373
1040.0		203.1954
1050.0		202.8524
1060.0		202.5083
1070.0		202.1632
1080.0		201.817
1090.0		201.4697
1100.0		201.1214
1110.0		200.7721
1120.0		200.4217
1130.0		200.0703
1140.0		199.7178
1150.0		199.3643
1160.0		199.0098
1170.0		198.6542
1180.0		198.2976
1190.0		197.94
1200.0		197.5813
1210.0		197.2217
1220.0		196.861
1230.0		196.4993
1240.0		196.1366
1250.0		195.7729
1260.0		195.4083
1270.0		195.0426
1280.0		194.6759
1290.0		194.3083
1300.0		193.9396
1310.0		193.57
1320.0		193.1995
1330.0		192.8279
1340.0		192.4554
1350.0		192.082
1360.0		191.7076
1370.0		191.3322
1380.0		190.9559
1390.0		190.5787
1400.0		190.2006
1410.0		189.8215
1420.0		189.4415
1430.0		189.0606
1440.0		188.6788
1450.0		188.2961
1460.0		187.9125
1470.0		187.528
1480.0		187.1426
1490.0		186.7564
1500.0		186.3693
1510.0		185.9813
1520.0		185.5925
1530.0		185.2029
1540.0		184.8124
1550.0		184.421
1560.0		184.0289
1570.0		183.6359
1580.0		183.2422
1590.0		182.8476
1600.0		182.4523
1610.0		182.0562
1620.0		181.6593
1630.0		181.2616
1640.0		180.8632
1650.0		180.4641
1660.0		180.0642
1670.0		179.6636
1680.0		179.2623
1690.0		178.8602
1700.0		178.4575
1710.0		178.0541
1720.0		177.6501
1730.0		177.2453
1740.0		176.8399
1750.0		176.4339
1760.0		176.0273
1770.0		175.62
1780.0		175.2122
1790.0		174.8037
1800.0		174.3947
1810.0		173.9851
1820.0		173.575
1830.0		173.1643
1840.0		172.7531
1850.0		172.3413
1860.0		171.9291
1870.0		171.5164
1880.0		171.1033
1890.0		170.6896
1900.0		170.2756
1910.0		169.8611
1920.0		169.4462
1930.0		169.0309
1940.0		168.6153
1950.0		168.1993
1960.0		167.7829
1970.0		167.3662
1980.0		166.9492
1990.0		166.532
2000.0		166.1144
2010.0		165.6966
2020.0		165.2786
2030.0		164.8604
2040.0		164.4419
2050.0		164.0233
2060.0		163.6046
2070.0		163.1857
2080.0		162.7666
2090.0		162.3476
2100.0		161.9284
2110.0		161.5092
2120.0		161.0899
2130.0		160.6707
2140.0		160.2514
2150.0		159.8323
2160.0		159.4132
2170.0		158.9942
2180.0		158.5753
2190.0		158.1565
2200.0		157.7379
2210.0		157.3195
2220.0		156.9014
2230.0		156.4835
2240.0		156.0659
2250.0		155.6485
2260.0		155.2315
2270.0		154.8149
2280.0		154.3987
2290.0		153.9829
2300.0		153.5675
2310.0		153.1527
2320.0		152.7383
2330.0		152.3245
2340.0		151.9113
2350.0		151.4987
2360.0		151.0867
2370.0		150.6754
2380.0		150.2649
2390.0		149.855
2400.0		149.446
2410.0		149.0378
2420.0		148.6305
2430.0		148.224
2440.0		147.8185
2450.0		147.414
2460.0		147.0104
2470.0		146.6079
2480.0		146.2066
2490.0		145.8063
2500.0		145.4072
2510.0		145.0093
2520.0		144.6127
2530.0		144.2174
2540.0		143.8234
2550.0		143.4308
2560.0		143.0397
2570.0		142.65
2580.0		142.2618
2590.0		141.8753
2600.0		141.4903
2610.0		141.107
2620.0		140.7253
2630.0		140.3455
2640.0		139.9675
2650.0		139.5913
2660.0		139.217
2670.0		138.8446
2680.0		138.4743
2690.0		138.1061
2700.0		137.7399
2710.0		137.3759
2720.0		137.0142
2730.0		136.6547
2740.0		136.2975
2750.0		135.9427
2760.0		135.5903
2770.0		135.2404
2780.0		134.8931
2790.0		134.5483
2800.0		134.2062
2810.0		133.8669
2820.0		133.5303
2830.0		133.1965
2840.0		132.8656
2850.0		132.5377
2860.0		132.2127
2870.0		131.8908
2880.0		131.572
2890.0		131.2565
2900.0		130.9441
2910.0		130.635
2920.0		130.3293
2930.0		130.0271
2940.0		129.7282
2950.0		129.433
2960.0		129.1413
2970.0		128.8532
2980.0		128.5689
2990.0		128.2884
3000.0		128.0117
