T(K)		V(bohr^3)
0.0		14700.6376
10.0		14700.6385
20.0		14700.6528
30.0		14700.7118
40.0		14700.857
50.0		14701.1331
60.0		14701.5771
70.0		14702.2103
80.0		14703.0371
90.0		14704.0507
100.0		14705.2371
110.0		14706.5798
120.0		14708.0616
130.0		14709.6661
140.0		14711.3786
150.0		14713.186
160.0		14715.077
170.0		14717.0417
180.0		14719.0714
190.0		14721.159
200.0		14723.2982
210.0		14725.4835
220.0		14727.7103
230.0		14729.9747
240.0		14732.2732
250.0		14734.6028
260.0		14736.9609
270.0		14739.3453
280.0		14741.7539
290.0		14744.1851
300.0		14746.6373
310.0		14749.1091
320.0		14751.5994
330.0		14754.1071
340.0		14756.6312
350.0		14759.171
360.0		14761.7256
370.0		14764.2942
380.0		14766.8766
390.0		14769.4721
400.0		14772.0801
410.0		14774.7002
420.0		14777.3321
430.0		14779.9754
440.0		14782.6297
450.0		14785.2947
460.0		14787.9703
470.0		14790.6561
480.0		14793.352
490.0		14796.0577
500.0		14798.7731
510.0		14801.498
520.0		14804.2323
530.0		14806.9758
540.0		14809.7284
550.0		14812.49
560.0		14815.2606
570.0		14818.04
580.0		14820.8281
590.0		14823.6249
600.0		14826.4303
610.0		14829.2443
620.0		14832.0668
630.0		14834.8978
640.0		14837.7372
650.0		14840.5849
660.0		14843.4412
670.0		14846.3058
680.0		14849.1786
690.0		14852.0599
700.0		14854.9494
710.0		14857.8473
720.0		14860.7534
730.0		14863.6679
740.0		14866.5907
750.0		14869.5218
760.0		14872.4613
770.0		14875.4091
780.0		14878.3653
790.0		14881.3299
800.0		14884.3029
810.0		14887.2843
820.0		14890.2741
830.0		14893.2725
840.0		14896.2794
850.0		14899.2948
860.0		14902.3188
870.0		14905.3514
880.0		14908.3927
890.0		14911.4429
900.0		14914.5017
910.0		14917.5692
920.0		14920.6456
930.0		14923.7308
940.0		14926.8249
950.0		14929.9281
960.0		14933.0402
970.0		14936.1614
980.0		14939.2917
990.0		14942.4312
1000.0		14945.58
1010.0		14948.738
1020.0		14951.9053
1030.0		14955.0821
1040.0		14958.2683
1050.0		14961.464
1060.0		14964.6693
1070.0		14967.8843
1080.0		14971.1089
1090.0		14974.3433
1100.0		14977.5876
1110.0		14980.8417
1120.0		14984.1058
1130.0		14987.3799
1140.0		14990.6642
1150.0		14993.9586
1160.0		14997.2632
1170.0		15000.5781
1180.0		15003.9035
1190.0		15007.2392
1200.0		15010.5855
1210.0		15013.9424
1220.0		15017.31
1230.0		15020.6883
1240.0		15024.0775
1250.0		15027.4775
1260.0		15030.8885
1270.0		15034.3106
1280.0		15037.7439
1290.0		15041.1883
1300.0		15044.6441
1310.0		15048.1112
1320.0		15051.5898
1330.0		15055.08
1340.0		15058.5818
1350.0		15062.0952
1360.0		15065.6206
1370.0		15069.1578
1380.0		15072.707
1390.0		15076.2683
1400.0		15079.8417
1410.0		15083.4273
1420.0		15087.0253
1430.0		15090.6358
1440.0		15094.2587
1450.0		15097.8943
1460.0		15101.5426
1470.0		15105.2036
1480.0		15108.8776
1490.0		15112.5646
1500.0		15116.2646
1510.0		15119.9779
1520.0		15123.7044
1530.0		15127.4443
1540.0		15131.1977
1550.0		15134.9647
1560.0		15138.7454
1570.0		15142.5398
1580.0		15146.3482
1590.0		15150.1705
1600.0		15154.007
1610.0		15157.8577
1620.0		15161.7226
1630.0		15165.602
1640.0		15169.4959
1650.0		15173.4045
1660.0		15177.3277
1670.0		15181.2659
1680.0		15185.219
1690.0		15189.1872
1700.0		15193.1705
1710.0		15197.1692
1720.0		15201.1832
1730.0		15205.2128
1740.0		15209.2581
1750.0		15213.319
1760.0		15217.3956
1770.0		15221.4885
1780.0		15225.5975
1790.0		15229.7227
1800.0		15233.8643
1810.0		15238.0222
1820.0		15242.1968
1830.0		15246.388
1840.0		15250.5961
1850.0		15254.8211
1860.0		15259.0632
1870.0		15263.3224
1880.0		15267.5989
1890.0		15271.8929
1900.0		15276.2044
1910.0		15280.5336
1920.0		15284.8806
1930.0		15289.2456
1940.0		15293.6285
1950.0		15298.0297
1960.0		15302.4491
1970.0		15306.887
1980.0		15311.3434
1990.0		15315.8185
2000.0		15320.3124
2010.0		15324.8253
2020.0		15329.3571
2030.0		15333.9082
2040.0		15338.4786
2050.0		15343.0684
2060.0		15347.6777
2070.0		15352.3068
2080.0		15356.9556
2090.0		15361.6247
2100.0		15366.3136
2110.0		15371.0227
2120.0		15375.7521
2130.0		15380.502
2140.0		15385.2724
2150.0		15390.0635
2160.0		15394.8755
2170.0		15399.7083
2180.0		15404.5623
2190.0		15409.4374
2200.0		15414.3338
2210.0		15419.2516
2220.0		15424.1909
2230.0		15429.1519
2240.0		15434.1346
2250.0		15439.1393
2260.0		15444.1659
2270.0		15449.2146
2280.0		15454.2855
2290.0		15459.3788
2300.0		15464.4944
2310.0		15469.6326
2320.0		15474.7935
2330.0		15479.977
2340.0		15485.1834
2350.0		15490.4127
2360.0		15495.6651
2370.0		15500.9405
2380.0		15506.2391
2390.0		15511.561
2400.0		15516.9063
2410.0		15522.2751
2420.0		15527.6673
2430.0		15533.0832
2440.0		15538.5227
2450.0		15543.9859
2460.0		15549.4729
2470.0		15554.9838
2480.0		15560.5186
2490.0		15566.0774
2500.0		15571.6602
2510.0		15577.267
2520.0		15582.8979
2530.0		15588.5529
2540.0		15594.232
2550.0		15599.9354
2560.0		15605.6629
2570.0		15611.4146
2580.0		15617.1906
2590.0		15622.9907
2600.0		15628.8151
2610.0		15634.6634
2620.0		15640.5362
2630.0		15646.4331
2640.0		15652.3542
2650.0		15658.2994
2660.0		15664.2686
2670.0		15670.2618
2680.0		15676.2789
2690.0		15682.32
2700.0		15688.3848
2710.0		15694.4734
2720.0		15700.5857
2730.0		15706.7215
2740.0		15712.8808
2750.0		15719.0634
2760.0		15725.2692
2770.0		15731.4982
2780.0		15737.7501
2790.0		15744.0249
2800.0		15750.3223
2810.0		15756.6423
2820.0		15762.9847
2830.0		15769.3492
2840.0		15775.7357
2850.0		15782.144
2860.0		15788.5738
2870.0		15795.0251
2880.0		15801.4975
2890.0		15807.9908
2900.0		15814.5049
2910.0		15821.0393
2920.0		15827.5939
2930.0		15834.1684
2940.0		15840.7626
2950.0		15847.3761
2960.0		15854.0086
2970.0		15860.6598
2980.0		15867.3295
2990.0		15874.0172
3000.0		15880.7227
