T(K)		B(GPa)
0.0		231.3849
10.0		231.3852
20.0		231.3889
30.0		231.4006
40.0		231.4149
50.0		231.418
60.0		231.398
70.0		231.3491
80.0		231.2704
90.0		231.1635
100.0		231.0311
110.0		230.8763
120.0		230.7024
130.0		230.5125
140.0		230.3095
150.0		230.0957
160.0		229.873
170.0		229.6426
180.0		229.4058
190.0		229.1634
200.0		228.9161
210.0		228.6644
220.0		228.409
230.0		228.1501
240.0		227.8881
250.0		227.6233
260.0		227.3559
270.0		227.0859
280.0		226.8137
290.0		226.5393
300.0		226.2628
310.0		225.9844
320.0		225.704
330.0		225.4218
340.0		225.1378
350.0		224.8521
360.0		224.5648
370.0		224.2758
380.0		223.9852
390.0		223.6931
400.0		223.3995
410.0		223.1043
420.0		222.8078
430.0		222.5097
440.0		222.2103
450.0		221.9095
460.0		221.6073
470.0		221.3037
480.0		220.9988
490.0		220.6925
500.0		220.3849
510.0		220.0761
520.0		219.7659
530.0		219.4544
540.0		219.1417
550.0		218.8276
560.0		218.5124
570.0		218.1958
580.0		217.8781
590.0		217.5591
600.0		217.2388
610.0		216.9174
620.0		216.5947
630.0		216.2708
640.0		215.9457
650.0		215.6193
660.0		215.2918
670.0		214.9631
680.0		214.6332
690.0		214.3021
700.0		213.9698
710.0		213.6363
720.0		213.3017
730.0		212.9659
740.0		212.6289
750.0		212.2907
760.0		211.9513
770.0		211.6108
780.0		211.2691
790.0		210.9262
800.0		210.5822
810.0		210.237
820.0		209.8907
830.0		209.5432
840.0		209.1945
850.0		208.8447
860.0		208.4937
870.0		208.1416
880.0		207.7883
890.0		207.4339
900.0		207.0783
910.0		206.7215
920.0		206.3637
930.0		206.0046
940.0		205.6445
950.0		205.2832
960.0		204.9207
970.0		204.5571
980.0		204.1924
990.0		203.8266
1000.0		203.4596
1010.0		203.0915
1020.0		202.7223
1030.0		202.3519
1040.0		201.9805
1050.0		201.6079
1060.0		201.2342
1070.0		200.8594
1080.0		200.4836
1090.0		200.1066
1100.0		199.7285
1110.0		199.3493
1120.0		198.9691
1130.0		198.5877
1140.0		198.2053
1150.0		197.8218
1160.0		197.4373
1170.0		197.0517
1180.0		196.665
1190.0		196.2773
1200.0		195.8885
1210.0		195.4987
1220.0		195.1079
1230.0		194.716
1240.0		194.3231
1250.0		193.9292
1260.0		193.5343
1270.0		193.1384
1280.0		192.7416
1290.0		192.3437
1300.0		191.9448
1310.0		191.545
1320.0		191.1442
1330.0		190.7425
1340.0		190.3398
1350.0		189.9361
1360.0		189.5316
1370.0		189.1261
1380.0		188.7197
1390.0		188.3124
1400.0		187.9042
1410.0		187.4952
1420.0		187.0852
1430.0		186.6744
1440.0		186.2628
1450.0		185.8503
1460.0		185.4369
1470.0		185.0228
1480.0		184.6078
