T(K)		B(GPa)
0.0		231.3837
10.0		231.384
20.0		231.3881
30.0		231.401
40.0		231.4156
50.0		231.4155
60.0		231.3871
70.0		231.3248
80.0		231.2294
90.0		231.1046
100.0		230.9553
110.0		230.786
120.0		230.6008
130.0		230.4025
140.0		230.1935
150.0		229.9755
160.0		229.75
170.0		229.5179
180.0		229.2801
190.0		229.0373
200.0		228.7901
210.0		228.5389
220.0		228.2841
230.0		228.0259
240.0		227.7646
250.0		227.5005
260.0		227.2338
270.0		226.9646
280.0		226.693
290.0		226.4191
300.0		226.1432
310.0		225.8651
320.0		225.5852
330.0		225.3033
340.0		225.0196
350.0		224.7341
360.0		224.4469
370.0		224.158
380.0		223.8675
390.0		223.5753
400.0		223.2816
410.0		222.9863
420.0		222.6895
430.0		222.3912
440.0		222.0915
450.0		221.7902
460.0		221.4876
470.0		221.1835
480.0		220.878
490.0		220.5711
500.0		220.2628
510.0		219.9531
520.0		219.6421
530.0		219.3297
540.0		219.016
550.0		218.701
560.0		218.3846
570.0		218.0669
580.0		217.7479
590.0		217.4275
600.0		217.1059
610.0		216.7829
620.0		216.4587
630.0		216.1332
640.0		215.8063
650.0		215.4782
660.0		215.1488
670.0		214.8181
680.0		214.4861
690.0		214.1528
700.0		213.8183
710.0		213.4824
720.0		213.1453
730.0		212.8069
740.0		212.4672
750.0		212.1262
760.0		211.784
770.0		211.4404
780.0		211.0956
790.0		210.7495
800.0		210.4021
810.0		210.0535
820.0		209.7036
830.0		209.3524
840.0		208.9999
850.0		208.6461
860.0		208.2911
870.0		207.9348
880.0		207.5773
890.0		207.2184
900.0		206.8584
910.0		206.497
920.0		206.1344
930.0		205.7706
940.0		205.4055
950.0		205.0391
960.0		204.6715
970.0		204.3027
980.0		203.9326
990.0		203.5613
1000.0		203.1887
1010.0		202.815
1020.0		202.44
1030.0		202.0638
1040.0		201.6863
1050.0		201.3077
1060.0		200.9278
1070.0		200.5468
1080.0		200.1645
1090.0		199.7811
1100.0		199.3965
1110.0		199.0107
1120.0		198.6237
1130.0		198.2355
1140.0		197.8462
1150.0		197.4558
1160.0		197.0641
1170.0		196.6714
1180.0		196.2775
1190.0		195.8824
1200.0		195.4863
1210.0		195.089
1220.0		194.6906
1230.0		194.2911
1240.0		193.8905
1250.0		193.4888
1260.0		193.086
1270.0		192.6821
1280.0		192.2772
1290.0		191.8712
1300.0		191.4641
1310.0		191.0561
1320.0		190.6469
1330.0		190.2368
