T(K)		V(bohr^3)
0.0		14702.5015
10.0		14702.5022
20.0		14702.5138
30.0		14702.5636
40.0		14702.695
50.0		14702.9593
60.0		14703.3993
70.0		14704.0386
80.0		14704.882
90.0		14705.921
100.0		14707.14
110.0		14708.5207
120.0		14710.0445
130.0		14711.6941
140.0		14713.4538
150.0		14715.3099
160.0		14717.2499
170.0		14719.2633
180.0		14721.341
190.0		14723.4752
200.0		14725.6593
210.0		14727.8881
220.0		14730.157
230.0		14732.4624
240.0		14734.801
250.0		14737.1699
260.0		14739.5667
270.0		14741.989
280.0		14744.4348
290.0		14746.9024
300.0		14749.3901
310.0		14751.8966
320.0		14754.4206
330.0		14756.961
340.0		14759.517
350.0		14762.0874
360.0		14764.6719
370.0		14767.2697
380.0		14769.8801
390.0		14772.5026
400.0		14775.1367
410.0		14777.782
420.0		14780.438
430.0		14783.1045
440.0		14785.781
450.0		14788.4673
460.0		14791.1632
470.0		14793.8683
480.0		14796.5825
490.0		14799.3056
500.0		14802.0373
510.0		14804.7776
520.0		14807.5262
530.0		14810.283
540.0		14813.048
550.0		14815.8209
560.0		14818.6017
570.0		14821.3903
580.0		14824.1866
590.0		14826.9905
600.0		14829.802
610.0		14832.621
620.0		14835.4474
630.0		14838.2812
640.0		14841.1224
650.0		14843.9708
660.0		14846.8265
670.0		14849.6894
680.0		14852.5596
690.0		14855.4369
700.0		14858.3213
710.0		14861.213
720.0		14864.1117
730.0		14867.0176
740.0		14869.9306
750.0		14872.8507
760.0		14875.7779
770.0		14878.7123
780.0		14881.6537
790.0		14884.6023
800.0		14887.558
810.0		14890.5208
820.0		14893.4907
830.0		14896.4678
840.0		14899.4521
850.0		14902.4436
860.0		14905.4422
870.0		14908.4481
880.0		14911.4612
890.0		14914.4818
900.0		14917.5095
910.0		14920.5445
920.0		14923.5868
930.0		14926.6365
940.0		14929.6936
950.0		14932.7581
960.0		14935.8301
970.0		14938.9095
980.0		14941.9964
990.0		14945.0908
1000.0		14948.1929
1010.0		14951.3025
1020.0		14954.4198
1030.0		14957.5447
1040.0		14960.6774
1050.0		14963.8178
1060.0		14966.966
1070.0		14970.122
1080.0		14973.2859
1090.0		14976.4577
1100.0		14979.6375
1110.0		14982.8252
1120.0		14986.021
1130.0		14989.2248
1140.0		14992.4367
1150.0		14995.6569
1160.0		14998.8852
1170.0		15002.1218
1180.0		15005.3667
1190.0		15008.6199
1200.0		15011.8815
1210.0		15015.1516
1220.0		15018.4301
1230.0		15021.7172
1240.0		15025.0129
1250.0		15028.3172
1260.0		15031.6303
1270.0		15034.952
1280.0		15038.2826
1290.0		15041.622
1300.0		15044.9704
1310.0		15048.3276
1320.0		15051.6939
1330.0		15055.0693
1340.0		15058.4538
1350.0		15061.8474
1360.0		15065.2504
1370.0		15068.6626
1380.0		15072.0842
1390.0		15075.5152
1400.0		15078.9556
1410.0		15082.4056
1420.0		15085.8652
1430.0		15089.3344
1440.0		15092.8134
1450.0		15096.3021
1460.0		15099.8007
