T(K)		V(bohr^3)
0.0		14703.2118
10.0		14703.2125
20.0		14703.2224
30.0		14703.2659
40.0		14703.3848
50.0		14703.6321
60.0		14704.0545
70.0		14704.6793
80.0		14705.5128
90.0		14706.5462
100.0		14707.7611
110.0		14709.1354
120.0		14710.6463
130.0		14712.274
140.0		14714.002
150.0		14715.8175
160.0		14717.7104
170.0		14719.6723
180.0		14721.6959
190.0		14723.7745
200.0		14725.9022
210.0		14728.0738
220.0		14730.2847
230.0		14732.5309
240.0		14734.809
250.0		14737.1161
260.0		14739.4497
270.0		14741.8075
280.0		14744.1876
290.0		14746.5883
300.0		14749.0083
310.0		14751.4461
320.0		14753.9007
330.0		14756.371
340.0		14758.8562
350.0		14761.3554
360.0		14763.8677
370.0		14766.3929
380.0		14768.9302
390.0		14771.4791
400.0		14774.0391
410.0		14776.6098
420.0		14779.1908
430.0		14781.7818
440.0		14784.3825
450.0		14786.9925
460.0		14789.6117
470.0		14792.2397
480.0		14794.8765
490.0		14797.5217
500.0		14800.1753
510.0		14802.837
520.0		14805.5068
530.0		14808.1845
540.0		14810.8699
550.0		14813.5631
560.0		14816.2638
570.0		14818.972
580.0		14821.6877
590.0		14824.4108
600.0		14827.1411
610.0		14829.8787
620.0		14832.6235
630.0		14835.3755
640.0		14838.1345
650.0		14840.9008
660.0		14843.674
670.0		14846.4544
680.0		14849.2418
690.0		14852.0362
700.0		14854.8376
710.0		14857.6461
720.0		14860.4615
730.0		14863.284
740.0		14866.1135
750.0		14868.9501
760.0		14871.7937
770.0		14874.6443
780.0		14877.502
790.0		14880.3668
800.0		14883.2387
810.0		14886.1177
820.0		14889.0039
830.0		14891.8972
840.0		14894.7977
850.0		14897.7055
860.0		14900.6205
870.0		14903.5428
880.0		14906.4724
890.0		14909.4096
900.0		14912.3541
910.0		14915.3059
920.0		14918.2653
930.0		14921.2321
940.0		14924.2065
950.0		14927.1885
960.0		14930.1782
970.0		14933.1755
980.0		14936.1806
990.0		14939.1935
1000.0		14942.2141
1010.0		14945.2427
1020.0		14948.2792
1030.0		14951.3237
1040.0		14954.3763
1050.0		14957.4369
1060.0		14960.5057
1070.0		14963.5827
1080.0		14966.6679
1090.0		14969.7615
1100.0		14972.8634
1110.0		14975.9738
1120.0		14979.0927
1130.0		14982.2201
1140.0		14985.3562
1150.0		14988.501
1160.0		14991.6545
1170.0		14994.8168
1180.0		14997.988
1190.0		15001.1682
1200.0		15004.3574
1210.0		15007.5557
1220.0		15010.7631
1230.0		15013.9798
1240.0		15017.2057
1250.0		15020.4411
1260.0		15023.6859
1270.0		15026.9402
1280.0		15030.2041
1290.0		15033.4778
1300.0		15036.7611
1310.0		15040.0543
1320.0		15043.3574
1330.0		15046.6705
1340.0		15049.9937
1350.0		15053.327
1360.0		15056.6706
1370.0		15060.0245
1380.0		15063.3889
1390.0		15066.7637
1400.0		15070.1491
1410.0		15073.5451
1420.0		15076.952
1430.0		15080.3697
1440.0		15083.7983
1450.0		15087.238
1460.0		15090.6888
1470.0		15094.1508
1480.0		15097.6242
1490.0		15101.1089
1500.0		15104.6052
1510.0		15108.1131
1520.0		15111.6327
1530.0		15115.1641
1540.0		15118.7075
1550.0		15122.2628
1560.0		15125.8303
1570.0		15129.41
1580.0		15133.002
1590.0		15136.6065
1600.0		15140.2235
1610.0		15143.8532
1620.0		15147.4957
1630.0		15151.151
1640.0		15154.8194
1650.0		15158.5008
1660.0		15162.1955
1670.0		15165.9035
1680.0		15169.625
1690.0		15173.3601
1700.0		15177.1088
1710.0		15180.8714
1720.0		15184.648
1730.0		15188.4386
1740.0		15192.2434
1750.0		15196.0626
1760.0		15199.8962
1770.0		15203.7443
1780.0		15207.6072
1790.0		15211.485
1800.0		15215.3777
1810.0		15219.2856
1820.0		15223.2084
1830.0		15227.147
1840.0		15231.101
1850.0		15235.0708
1860.0		15239.0563
