T(K)		B(GPa)
0.0		228.0292
10.0		228.0291
20.0		228.0279
30.0		228.0224
40.0		228.0061
50.0		227.9714
60.0		227.9136
70.0		227.8326
80.0		227.7308
90.0		227.6118
100.0		227.4788
110.0		227.3343
120.0		227.18
130.0		227.0169
140.0		226.8457
150.0		226.6672
160.0		226.4823
170.0		226.2919
180.0		226.0968
190.0		225.8977
200.0		225.6951
210.0		225.4893
220.0		225.2807
230.0		225.0694
240.0		224.8554
250.0		224.639
260.0		224.4202
270.0		224.1991
280.0		223.9757
290.0		223.7501
300.0		223.5224
310.0		223.2926
320.0		223.0608
330.0		222.827
340.0		222.5912
350.0		222.3535
360.0		222.114
370.0		221.8726
380.0		221.6294
390.0		221.3844
400.0		221.1376
410.0		220.8891
420.0		220.6388
430.0		220.3869
440.0		220.1333
450.0		219.878
460.0		219.621
470.0		219.3624
480.0		219.1021
490.0		218.8402
500.0		218.5767
510.0		218.3116
520.0		218.0449
530.0		217.7766
540.0		217.5066
550.0		217.2352
560.0		216.9621
570.0		216.6874
580.0		216.4112
590.0		216.1334
600.0		215.8541
610.0		215.5732
620.0		215.2907
630.0		215.0067
640.0		214.7211
650.0		214.434
660.0		214.1453
670.0		213.855
680.0		213.5633
690.0		213.2699
700.0		212.9751
710.0		212.6786
720.0		212.3807
730.0		212.0812
740.0		211.7801
750.0		211.4776
760.0		211.1734
770.0		210.8678
780.0		210.5606
790.0		210.2519
800.0		209.9416
810.0		209.6298
820.0		209.3164
830.0		209.0015
840.0		208.6851
850.0		208.3672
860.0		208.0477
870.0		207.7267
880.0		207.4041
890.0		207.08
900.0		206.7544
910.0		206.4272
920.0		206.0985
930.0		205.7683
940.0		205.4365
950.0		205.1032
960.0		204.7684
970.0		204.432
980.0		204.0942
990.0		203.7547
1000.0		203.4138
1010.0		203.0713
1020.0		202.7273
1030.0		202.3818
1040.0		202.0347
1050.0		201.6861
1060.0		201.336
1070.0		200.9843
1080.0		200.6312
1090.0		200.2765
1100.0		199.9202
1110.0		199.5625
1120.0		199.2032
1130.0		198.8424
1140.0		198.4801
1150.0		198.1163
1160.0		197.751
1170.0		197.3841
1180.0		197.0157
1190.0		196.6458
1200.0		196.2744
1210.0		195.9015
1220.0		195.5271
1230.0		195.1511
1240.0		194.7737
1250.0		194.3948
1260.0		194.0143
1270.0		193.6324
1280.0		193.2489
