T(K)		B(GPa)
0.0		228.4383
10.0		228.4382
20.0		228.4366
30.0		228.4298
40.0		228.411
50.0		228.3732
60.0		228.312
70.0		228.2267
80.0		228.1193
90.0		227.9928
100.0		227.85
110.0		227.6936
120.0		227.5258
130.0		227.3487
140.0		227.164
150.0		226.9735
160.0		226.7792
170.0		226.5826
180.0		226.3852
190.0		226.1881
200.0		225.9921
210.0		225.7972
220.0		225.6032
230.0		225.4093
240.0		225.2148
250.0		225.0186
260.0		224.82
270.0		224.6184
280.0		224.4134
290.0		224.2051
300.0		223.9938
310.0		223.7796
320.0		223.5629
330.0		223.344
340.0		223.1231
350.0		222.9005
360.0		222.6763
370.0		222.4505
380.0		222.2233
390.0		221.9946
400.0		221.7646
410.0		221.5331
420.0		221.3003
430.0		221.0662
440.0		220.8308
450.0		220.594
460.0		220.3559
470.0		220.1165
480.0		219.8759
490.0		219.634
500.0		219.3908
510.0		219.1464
520.0		218.9007
530.0		218.6538
540.0		218.4056
550.0		218.1562
560.0		217.9056
570.0		217.6538
580.0		217.4008
590.0		217.1466
600.0		216.8912
610.0		216.6346
620.0		216.3768
630.0		216.1179
640.0		215.8577
650.0		215.5964
660.0		215.3339
670.0		215.0702
680.0		214.8053
690.0		214.5393
700.0		214.2721
710.0		214.0038
720.0		213.7342
730.0		213.4636
740.0		213.1917
750.0		212.9188
760.0		212.6446
770.0		212.3693
780.0		212.0929
790.0		211.8153
800.0		211.5365
810.0		211.2566
820.0		210.9756
830.0		210.6934
840.0		210.41
850.0		210.1255
860.0		209.8399
870.0		209.5531
880.0		209.2652
890.0		208.9761
900.0		208.6859
910.0		208.3945
920.0		208.102
930.0		207.8084
940.0		207.5136
950.0		207.2176
960.0		206.9206
970.0		206.6224
980.0		206.323
990.0		206.0225
1000.0		205.7209
1010.0		205.4182
1020.0		205.1143
1030.0		204.8093
1040.0		204.5031
1050.0		204.1958
1060.0		203.8874
1070.0		203.5778
1080.0		203.2671
1090.0		202.9553
1100.0		202.6423
1110.0		202.3282
1120.0		202.013
1130.0		201.6966
1140.0		201.3791
1150.0		201.0605
1160.0		200.7408
1170.0		200.4199
1180.0		200.0979
1190.0		199.7748
1200.0		199.4506
1210.0		199.1252
1220.0		198.7987
1230.0		198.4711
1240.0		198.1424
1250.0		197.8126
1260.0		197.4816
1270.0		197.1495
1280.0		196.8163
1290.0		196.482
1300.0		196.1466
1310.0		195.8101
1320.0		195.4725
1330.0		195.1337
1340.0		194.7939
1350.0		194.4529
1360.0		194.1109
1370.0		193.7677
1380.0		193.4234
1390.0		193.0781
1400.0		192.7316
1410.0		192.3841
1420.0		192.0354
1430.0		191.6857
1440.0		191.3349
1450.0		190.983
1460.0		190.63
1470.0		190.2759
1480.0		189.9208
1490.0		189.5646
1500.0		189.2073
1510.0		188.8489
1520.0		188.4895
1530.0		188.129
1540.0		187.7674
1550.0		187.4048
1560.0		187.0411
1570.0		186.6763
1580.0		186.3105
1590.0		185.9437
1600.0		185.5758
1610.0		185.2069
1620.0		184.8369
1630.0		184.4659
1640.0		184.0939
1650.0		183.7208
1660.0		183.3467
1670.0		182.9716
1680.0		182.5955
1690.0		182.2183
1700.0		181.8402
1710.0		181.461
1720.0		181.0809
1730.0		180.6997
1740.0		180.3176
1750.0		179.9345
1760.0		179.5504
1770.0		179.1653
1780.0		178.7793
1790.0		178.3923
1800.0		178.0043
1810.0		177.6154
1820.0		177.2255
1830.0		176.8347
1840.0		176.4429
1850.0		176.0503
1860.0		175.6567
1870.0		175.2621
1880.0		174.8667
1890.0		174.4703
1900.0		174.0731
1910.0		173.675
1920.0		173.2759
1930.0		172.876
1940.0		172.4753
1950.0		172.0737
1960.0		171.6712
1970.0		171.2678
1980.0		170.8637
1990.0		170.4587
2000.0		170.0528
2010.0		169.6462
2020.0		169.2388
2030.0		168.8305
2040.0		168.4215
2050.0		168.0117
2060.0		167.6011
2070.0		167.1898
2080.0		166.7777
2090.0		166.3649
2100.0		165.9514
2110.0		165.5371
2120.0		165.1222
2130.0		164.7065
2140.0		164.2902
2150.0		163.8732
2160.0		163.4555
2170.0		163.0372
2180.0		162.6182
2190.0		162.1987
2200.0		161.7785
2210.0		161.3577
2220.0		160.9364
2230.0		160.5144
2240.0		160.0919
2250.0		159.6689
2260.0		159.2454
2270.0		158.8213
2280.0		158.3968
2290.0		157.9717
2300.0		157.5462
2310.0		157.1203
2320.0		156.6939
2330.0		156.2671
2340.0		155.8399
2350.0		155.4123
2360.0		154.9844
2370.0		154.5561
2380.0		154.1275
2390.0		153.6986
2400.0		153.2694
2410.0		152.8399
2420.0		152.4102
2430.0		151.9803
2440.0		151.5501
2450.0		151.1198
2460.0		150.6893
2470.0		150.2586
2480.0		149.8279
2490.0		149.397
2500.0		148.9661
2510.0		148.5351
2520.0		148.1041
2530.0		147.6731
2540.0		147.2421
2550.0		146.8112
2560.0		146.3804
2570.0		145.9496
2580.0		145.519
2590.0		145.0886
2600.0		144.6583
2610.0		144.2283
2620.0		143.7985
2630.0		143.3689
2640.0		142.9397
2650.0		142.5108
2660.0		142.0823
2670.0		141.6542
2680.0		141.2265
2690.0		140.7993
2700.0		140.3726
2710.0		139.9464
2720.0		139.5207
2730.0		139.0957
2740.0		138.6713
2750.0		138.2476
2760.0		137.8246
2770.0		137.4024
2780.0		136.9809
2790.0		136.5603
2800.0		136.1405
2810.0		135.7216
2820.0		135.3037
2830.0		134.8868
2840.0		134.4709
2850.0		134.0561
2860.0		133.6424
2870.0		133.2298
2880.0		132.8185
2890.0		132.4084
2900.0		131.9997
2910.0		131.5922
2920.0		131.1862
2930.0		130.7816
2940.0		130.3785
2950.0		129.9769
2960.0		129.5769
2970.0		129.1786
2980.0		128.7819
2990.0		128.387
3000.0		127.9939
