T(K)		V(bohr^3)
0.0		14702.999
10.0		14702.9998
20.0		14703.0114
30.0		14703.0612
40.0		14703.1929
50.0		14703.4573
60.0		14703.8974
70.0		14704.5368
80.0		14705.3804
90.0		14706.4196
100.0		14707.639
110.0		14709.0201
120.0		14710.5443
130.0		14712.194
140.0		14713.9534
150.0		14715.8086
160.0		14717.7471
170.0		14719.7585
180.0		14721.834
190.0		14723.9661
200.0		14726.1485
210.0		14728.3761
220.0		14730.6444
230.0		14732.9494
240.0		14735.2878
250.0		14737.6565
260.0		14740.053
270.0		14742.4748
280.0		14744.92
290.0		14747.3868
300.0		14749.8737
310.0		14752.3793
320.0		14754.9025
330.0		14757.4422
340.0		14759.9975
350.0		14762.5673
360.0		14765.1512
370.0		14767.7486
380.0		14770.3586
390.0		14772.9808
400.0		14775.6147
410.0		14778.2599
420.0		14780.9159
430.0		14783.5824
440.0		14786.2592
450.0		14788.9458
460.0		14791.642
470.0		14794.3476
480.0		14797.0624
490.0		14799.7861
500.0		14802.5186
510.0		14805.2597
520.0		14808.0092
530.0		14810.767
540.0		14813.5331
550.0		14816.3072
560.0		14819.0893
570.0		14821.8792
580.0		14824.6769
590.0		14827.4824
600.0		14830.2955
610.0		14833.1161
620.0		14835.9443
630.0		14838.7799
640.0		14841.6229
650.0		14844.4733
660.0		14847.3311
670.0		14850.1962
680.0		14853.0685
690.0		14855.9481
700.0		14858.835
710.0		14861.729
720.0		14864.6303
730.0		14867.5388
740.0		14870.4545
750.0		14873.3773
760.0		14876.3074
770.0		14879.2446
780.0		14882.189
790.0		14885.1406
800.0		14888.0995
810.0		14891.0655
820.0		14894.0387
830.0		14897.0192
840.0		14900.0069
850.0		14903.0019
860.0		14906.0042
870.0		14909.0137
880.0		14912.0306
890.0		14915.0551
900.0		14918.0867
910.0		14921.1257
920.0		14924.1721
930.0		14927.226
940.0		14930.2873
950.0		14933.3562
960.0		14936.4325
970.0		14939.5165
980.0		14942.608
990.0		14945.7071
1000.0		14948.8139
1010.0		14951.9284
1020.0		14955.0506
1030.0		14958.1806
1040.0		14961.3184
1050.0		14964.464
1060.0		14967.6174
1070.0		14970.7788
1080.0		14973.9482
1090.0		14977.1256
1100.0		14980.311
1110.0		14983.5044
1120.0		14986.706
1130.0		14989.9158
1140.0		14993.1338
1150.0		14996.36
1160.0		14999.5946
1170.0		15002.8375
1180.0		15006.0887
1190.0		15009.3485
1200.0		15012.6167
1210.0		15015.8935
1220.0		15019.1788
1230.0		15022.4728
1240.0		15025.7755
1250.0		15029.087
1260.0		15032.4072
1270.0		15035.7363
1280.0		15039.0743
1290.0		15042.4213
1300.0		15045.7772
1310.0		15049.1422
1320.0		15052.5164
1330.0		15055.8997
1340.0		15059.2923
1350.0		15062.6941
1360.0		15066.1053
1370.0		15069.5259
1380.0		15072.956
1390.0		15076.3956
1400.0		15079.8448
1410.0		15083.3036
1420.0		15086.7722
1430.0		15090.2505
1440.0		15093.7386
1450.0		15097.2367
1460.0		15100.7447
1470.0		15104.2627
1480.0		15107.7908
1490.0		15111.329
1500.0		15114.8775
1510.0		15118.4363
1520.0		15122.0054
1530.0		15125.5849
1540.0		15129.1749
1550.0		15132.7755
1560.0		15136.3867
1570.0		15140.0085
1580.0		15143.6412
1590.0		15147.2846
1600.0		15150.939
1610.0		15154.6043
1620.0		15158.2807
1630.0		15161.9683
1640.0		15165.667
1650.0		15169.3769
1660.0		15173.0982
1670.0		15176.831
1680.0		15180.5752
1690.0		15184.331
1700.0		15188.0984
1710.0		15191.8775
1720.0		15195.6685
1730.0		15199.4713
1740.0		15203.2861
1750.0		15207.1129
1760.0		15210.9518
1770.0		15214.8029
1780.0		15218.6661
1790.0		15222.5418
1800.0		15226.4301
1810.0		15230.3308
1820.0		15234.2441
1830.0		15238.1701
1840.0		15242.1089
1850.0		15246.0605
1860.0		15250.025
1870.0		15254.0026
1880.0		15257.9933
1890.0		15261.9972
1900.0		15266.0143
1910.0		15270.0449
1920.0		15274.0889
1930.0		15278.1464
1940.0		15282.2176
1950.0		15286.3025
1960.0		15290.4012
1970.0		15294.5138
1980.0		15298.6404
1990.0		15302.7811
2000.0		15306.936
2010.0		15311.1052
2020.0		15315.2887
2030.0		15319.4867
2040.0		15323.6992
2050.0		15327.9264
2060.0		15332.1683
2070.0		15336.425
2080.0		15340.6967
2090.0		15344.9834
2100.0		15349.2852
2110.0		15353.6022
2120.0		15357.9345
2130.0		15362.2826
2140.0		15366.6458
2150.0		15371.0248
2160.0		15375.4194
2170.0		15379.8298
2180.0		15384.2561
2190.0		15388.6984
2200.0		15393.1568
2210.0		15397.6314
2220.0		15402.1223
2230.0		15406.6297
2240.0		15411.1535
2250.0		15415.6939
2260.0		15420.251
2270.0		15424.8249
2280.0		15429.4157
2290.0		15434.0235
2300.0		15438.6484
2310.0		15443.2905
2320.0		15447.95
2330.0		15452.6268
2340.0		15457.3211
2350.0		15462.033
2360.0		15466.7627
