T(K)		V(bohr^3)
0.0		14699.7846
10.0		14699.7854
20.0		14699.7969
30.0		14699.8464
40.0		14699.9765
50.0		14700.2376
60.0		14700.6717
70.0		14701.3024
80.0		14702.1347
90.0		14703.1607
100.0		14704.3656
110.0		14705.7311
120.0		14707.2382
130.0		14708.8684
140.0		14710.6048
150.0		14712.4331
160.0		14714.3414
170.0		14716.3201
180.0		14718.3615
190.0		14720.4587
200.0		14722.606
210.0		14724.798
220.0		14727.0301
230.0		14729.2985
240.0		14731.5995
250.0		14733.9303
260.0		14736.2883
270.0		14738.6711
280.0		14741.0768
290.0		14743.5036
300.0		14745.9501
310.0		14748.4149
320.0		14750.8968
330.0		14753.3948
340.0		14755.9078
350.0		14758.4351
360.0		14760.9759
370.0		14763.5293
380.0		14766.0952
390.0		14768.6728
400.0		14771.2615
410.0		14773.861
420.0		14776.4708
430.0		14779.0906
440.0		14781.7201
450.0		14784.359
460.0		14787.0069
470.0		14789.6637
480.0		14792.3292
490.0		14795.003
500.0		14797.6852
510.0		14800.3753
520.0		14803.0735
530.0		14805.7794
540.0		14808.493
550.0		14811.2141
560.0		14813.9427
570.0		14816.6787
580.0		14819.4219
590.0		14822.1724
600.0		14824.93
610.0		14827.6946
620.0		14830.4663
630.0		14833.2449
640.0		14836.0305
650.0		14838.8227
660.0		14841.6222
670.0		14844.4284
680.0		14847.2413
690.0		14850.061
700.0		14852.8875
710.0		14855.7208
720.0		14858.5608
730.0		14861.4075
740.0		14864.2609
750.0		14867.1211
760.0		14869.988
770.0		14872.8617
780.0		14875.7421
790.0		14878.6292
800.0		14881.5231
810.0		14884.4238
820.0		14887.3313
830.0		14890.2455
840.0		14893.1666
850.0		14896.0945
860.0		14899.0293
870.0		14901.9709
880.0		14904.9195
890.0		14907.8749
900.0		14910.8373
910.0		14913.807
920.0		14916.7834
930.0		14919.7669
940.0		14922.7574
950.0		14925.755
960.0		14928.7598
970.0		14931.7718
980.0		14934.7909
990.0		14937.8173
1000.0		14940.8509
1010.0		14943.8919
1020.0		14946.9402
1030.0		14949.9959
1040.0		14953.0591
1050.0		14956.1297
1060.0		14959.2078
1070.0		14962.2935
1080.0		14965.3868
1090.0		14968.4877
1100.0		14971.5963
1110.0		14974.7127
1120.0		14977.8368
1130.0		14980.9688
1140.0		14984.1086
1150.0		14987.2564
1160.0		14990.4121
1170.0		14993.5759
1180.0		14996.7477
1190.0		14999.9277
1200.0		15003.1159
1210.0		15006.3122
1220.0		15009.5169
1230.0		15012.7299
1240.0		15015.9513
1250.0		15019.1812
1260.0		15022.4196
1270.0		15025.6665
1280.0		15028.9221
1290.0		15032.1863
1300.0		15035.4593
