T(K)		B(GPa)
0.0		228.3857
10.0		228.3856
20.0		228.384
30.0		228.3768
40.0		228.3577
50.0		228.3198
60.0		228.2588
70.0		228.1744
80.0		228.0687
90.0		227.9447
100.0		227.8056
110.0		227.654
120.0		227.492
130.0		227.3214
140.0		227.1434
150.0		226.9588
160.0		226.7685
170.0		226.5727
180.0		226.3721
190.0		226.1671
200.0		225.9582
210.0		225.7459
220.0		225.531
230.0		225.3139
240.0		225.0953
250.0		224.8757
260.0		224.6554
270.0		224.4348
280.0		224.2141
290.0		223.9939
300.0		223.7747
310.0		223.557
320.0		223.3412
330.0		223.1279
340.0		222.9173
350.0		222.7092
360.0		222.5033
370.0		222.2989
380.0		222.0953
390.0		221.8911
400.0		221.6852
410.0		221.4768
420.0		221.2649
430.0		221.0493
440.0		220.8299
450.0		220.607
460.0		220.381
470.0		220.1524
480.0		219.9214
490.0		219.6885
500.0		219.4538
510.0		219.2175
520.0		218.9798
530.0		218.7408
540.0		218.5005
550.0		218.259
560.0		218.0162
570.0		217.7722
580.0		217.5271
590.0		217.2807
600.0		217.0332
610.0		216.7846
620.0		216.5347
630.0		216.2837
640.0		216.0316
650.0		215.7782
660.0		215.5238
670.0		215.2681
680.0		215.0113
690.0		214.7534
700.0		214.4943
710.0		214.234
720.0		213.9726
730.0		213.7101
740.0		213.4464
750.0		213.1815
760.0		212.9155
770.0		212.6483
780.0		212.38
790.0		212.1106
800.0		211.84
810.0		211.5683
820.0		211.2954
830.0		211.0214
840.0		210.7463
850.0		210.47
860.0		210.1925
870.0		209.914
880.0		209.6343
890.0		209.3535
900.0		209.0715
910.0		208.7884
920.0		208.5042
930.0		208.2188
940.0		207.9323
950.0		207.6447
960.0		207.3559
970.0		207.066
980.0		206.775
990.0		206.4829
1000.0		206.1896
1010.0		205.8953
1020.0		205.5998
1030.0		205.3031
1040.0		205.0054
1050.0		204.7065
1060.0		204.4065
1070.0		204.1053
1080.0		203.8031
1090.0		203.4997
1100.0		203.1952
1110.0		202.8896
1120.0		202.5829
1130.0		202.2751
1140.0		201.9661
1150.0		201.656
1160.0		201.3448
1170.0		201.0325
1180.0		200.7191
1190.0		200.4045
1200.0		200.0889
1210.0		199.7721
1220.0		199.4542
1230.0		199.1352
1240.0		198.8151
1250.0		198.4939
1260.0		198.1716
1270.0		197.8481
1280.0		197.5236
1290.0		197.1979
1300.0		196.8712
1310.0		196.5433
1320.0		196.2143
1330.0		195.8842
1340.0		195.553
1350.0		195.2208
1360.0		194.8874
1370.0		194.5529
1380.0		194.2173
1390.0		193.8806
