formula,Nb,Mo,Ta,W,C11,C12,C44,a,b,c,G,B,E,v,Pugh,Zener
Nb27Mo16Ta35W22,27,16,35,22,364.864,158.641,71.141,65.234,65.231,65.224,82.571,227.382,220.966,0.338,2.754,0.69
Nb15Mo31Ta25W29,15,31,25,29,436.262,176.728,97.47,64.569,64.564,64.566,109.317,263.24,288.075,0.318,2.408,0.751
Nb35Mo30Ta17W18,35,30,17,18,388.552,163.156,72.429,64.916,64.915,64.917,86.522,238.288,231.541,0.338,2.754,0.643
Nb13Mo20Ta33W34,13,20,33,34,420.762,172.831,94.066,64.749,64.746,64.744,105.068,255.474,277.203,0.319,2.432,0.759
Nb19Mo21Ta28W32,19,21,28,32,413.785,170.61,89.028,64.778,64.786,64.784,100.88,251.669,266.968,0.323,2.495,0.732
Nb27Mo27Ta25W21,27,27,25,21,393.212,164.539,78.159,64.919,64.917,64.92,91.057,240.763,242.588,0.332,2.644,0.684
Nb28Mo33Ta19W20,28,33,19,20,406.641,168.225,81.412,64.765,64.766,64.766,94.883,247.697,252.42,0.33,2.611,0.683
Nb29Mo14Ta28W29,29,14,28,29,379.55,162.38,75.044,65.092,65.099,65.092,87.042,234.77,232.404,0.335,2.697,0.691
Nb28Mo32Ta31W9,28,32,31,9,371.487,158.041,69.903,65.103,65.098,65.105,82.863,229.189,221.851,0.339,2.766,0.655
Nb30Mo31Ta14W25,30,31,14,25,413.844,170.786,83.255,64.695,64.696,64.698,96.91,251.805,257.673,0.329,2.598,0.685
Nb21Mo27Ta25W27,21,27,25,27,414.682,170.615,87.888,64.746,64.744,64.75,100.255,251.971,265.547,0.324,2.513,0.72
Nb22Mo10Ta33W35,22,10,33,35,389.087,165.968,81.989,65.038,65.039,65.036,92.765,240.341,246.572,0.329,2.591,0.735
Nb22Mo28Ta29W21,22,28,29,21,399.47,166.132,82.067,64.879,64.878,64.881,94.511,243.912,251.1,0.328,2.581,0.703
Nb10Mo35Ta33W22,10,35,33,22,431.174,174.974,97.291,64.624,64.625,64.623,108.631,260.374,286.104,0.317,2.397,0.759
Nb24Mo15Ta28W33,24,15,28,33,396.742,166.716,82.38,64.943,64.945,64.948,94.18,243.391,250.26,0.329,2.584,0.716
Nb34Mo28Ta21W17,34,28,21,17,380.75,160.962,70.661,65.005,65.0,65.004,84.394,234.225,226.033,0.339,2.775,0.643
Nb27Mo20Ta34W19,27,20,34,19,368.529,159.534,71.23,65.173,65.175,65.172,83.08,229.199,222.372,0.338,2.759,0.682
Nb33Mo7Ta29W31,33,7,29,31,363.307,159.632,69.855,65.257,65.261,65.261,81.269,227.524,217.868,0.34,2.8,0.686
Nb35Mo19Ta26W20,35,19,26,20,363.47,157.068,66.28,65.196,65.198,65.203,79.199,225.869,212.732,0.343,2.852,0.642
Nb16Mo23Ta35W26,16,23,35,26,402.76,167.548,86.429,64.886,64.883,64.879,97.79,245.952,259.039,0.324,2.515,0.735
Nb30Mo24Ta33W13,30,24,33,13,359.13,155.497,66.508,65.246,65.238,65.243,78.925,223.375,211.827,0.342,2.83,0.653
Nb24Mo30Ta12W34,24,30,12,34,440.033,178.71,95.364,64.486,64.482,64.486,108.2,265.818,285.82,0.321,2.457,0.73
